gene	GSM1495249	GSM1495251	GSM1495253	GSM1495250	GSM1495252
228	-0.41	-0.61	-1.19	-1.17	-0.56
229	-0.27	-0.17	-0.28	-0.18	-0.17
230	2.76	2.69	2.7	2.75	3.27
231	1.25	1.22	1.77	1.19	1.47
236	-1.17	-1.21	-1.19	-1.17	-0.56
238	0.14	0.16	0.07	0.13	0.72
239	-0.19	-0.18	-0.03	-0.15	-0.03
240	0.3	0.18	0.27	0.08	0.06
241	0.47	0.29	0.24	0.18	0.02
242	-0.25	-0.17	-0.44	-0.24	-0.13
243	-1.17	-1.21	-1.19	-0.55	-0.56
245	-0.11	-0.15	-0.2	-0.05	-0.2
246	-0.32	-0.27	-0.37	-0.24	-0.56
247	-0.32	-0.39	0.23	-0.25	-0.02
248	-1.17	-1.21	-0.58	-1.17	-1.18
249	0.63	0.87	0.48	0.55	0.68
250	-0.37	-0.37	-0.49	-1.17	-0.37
257	-0.05	-0.09	0.18	-0.04	-0.06
258	-1.17	-0.46	-1.19	-1.17	-1.18
259	-0.46	-0.51	-0.37	-1.17	-1.18
262	1.75	1.8	1.11	1.73	1.28
263	-1.17	-1.21	-1.19	-1.17	-1.18
265	-1.17	-1.21	-1.19	-1.17	-1.18
266	-1.17	-1.21	-1.19	-1.17	-1.18
267	1.55	1.51	1.67	1.63	1.56
268	-0.19	-0.03	0.8	0.03	0.66
269	-0.56	-1.21	-1.19	-1.17	-1.18
270	-1.17	-1.21	-0.44	-1.17	-1.18
271	1.66	1.69	1.39	1.76	0.93
272	0.48	0.36	0.34	0.69	0.29
273	1.83	1.94	0.53	1.78	0.71
274	2.5	2.49	1.86	2.44	1.5
275	0.29	0.12	0.2	0.13	0.51
276	-0.56	-0.46	-1.19	-1.17	-0.56
277	-0.56	-0.46	-1.19	-0.46	-0.56
278	-1.17	-1.21	-1.19	-1.17	-1.18
279	-0.16	-0.12	-0.35	0.05	-0.56
280	0.71	0.64	0.82	0.98	0.4
281	-1.17	-1.21	-1.19	-1.17	-0.56
283	-0.19	-0.13	-0.18	-0.36	-0.12
284	-0.02	-0.05	-0.06	0.01	0.24
285	0.15	0.1	-0.09	-0.07	0.58
286	0.47	0.65	0.38	0.4	0.55
287	2.73	2.64	2.17	2.74	2.03
288	1.95	1.78	0.76	2.15	1.36
290	-0.03	-0.07	-0.18	-0.11	-0.03
291	1.81	1.98	1.16	1.84	1.41
292	1.62	1.72	1.4	1.56	2.02
293	2.26	2.39	2.03	2.26	1.92
301	0.73	0.29	0.2	0.24	0.32
302	1.1	0.6	0.81	0.23	0.93
303	-0.35	-1.21	-0.58	-0.36	-0.46
304	-1.17	-1.21	-1.19	-1.17	-1.18
305	-1.17	-0.46	-0.58	-1.17	-1.18
306	0.16	0.17	-0.06	0.19	-0.17
307	0.69	0.4	0.44	0.44	0.62
308	1.69	1.5	2.05	1.35	1.91
309	2.08	2.28	1.9	2.25	2.15
310	1.51	1.5	1.33	1.56	1.36
311	1.88	2.01	0.67	1.67	0.62
312	-0.29	-0.35	-0.28	-0.31	-0.23
313	0.12	0.09	0.36	0.03	0.14
314	-0.1	-0.11	-0.12	-0.11	-0.15
316	-0.09	-0.15	-0.4	-0.09	-0.13
317	0.74	0.75	0.83	0.75	0.78
318	0.31	0.41	0.56	0.43	0.36
319	-0.37	-0.32	-0.4	-0.36	-0.46
320	1.82	1.76	1.17	1.89	0.96
321	2.12	2.22	1.86	2.05	2.11
322	2.38	2.46	1.79	2.45	1.98
323	1.24	1.1	1.51	1.2	1.64
324	2.26	2.04	1.75	2.26	1.97
325	-1.17	-1.21	-1.19	-1.17	-1.18
326	-0.01	-0.02	0.02	-0.19	-0.01
327	1	1.18	1.07	1.16	1.29
328	1.3	1.33	1.74	1.22	1.94
329	0.92	0.88	1.17	0.89	1.05
330	0.13	0.04	0	0.12	0.02
331	1.35	1.26	1.45	1.29	1.51
332	-0.17	-0.02	0.2	-0.29	0.52
333	2.86	2.86	2	2.98	2.03
334	2.7	2.71	2.48	2.59	2.51
335	-0.56	-0.35	-0.58	-0.4	-0.25
336	-0.35	-0.32	-1.19	-0.46	-0.56
337	-1.17	-1.21	-1.19	-1.17	-1.18
338	-0.25	-0.23	-0.49	-0.29	-0.32
339	-1.17	-1.21	-1.19	-1.17	-1.18
341	0.78	0.47	1.31	0.24	0.83
342	-0.32	-0.32	-0.14	-0.36	-0.2
343	-0.32	-0.46	-0.4	-0.36	-1.18
344	0.03	-0.06	0.06	-0.05	-0.07
345	-1.17	-1.21	-1.19	-1.17	-1.18
346	-0.37	-0.61	-0.37	-0.33	-1.18
347	2.24	2.2	0.92	2.08	2.01
348	2.71	2.54	3.47	2.65	2.92
350	-1.17	-1.21	-0.35	-1.17	-1.18
351	3.29	3.3	3.09	3.33	3.32
353	0.43	0.58	0.49	0.4	0.62
354	-1.17	-0.61	-1.19	-1.17	-1.18
355	0.12	-0.05	-0.07	0.08	0.31
356	-0.56	-0.46	-0.49	-1.17	-0.56
357	0.6	0.7	0.52	0.76	0.83
358	1.49	0.54	1.69	0.57	1.06
359	-1.17	-0.46	-1.19	-1.17	-1.18
360	0.46	0.52	-0.22	-0.13	-0.46
361	2.99	2.9	3.34	2.76	2.54
362	-0.07	-0.21	-1.19	-0.11	-1.18
363	-0.01	0.01	0.09	-0.05	0.3
364	-0.13	-0.18	-0.19	-0.2	-0.25
366	0.09	-0.02	-0.58	-0.07	-0.29
367	-0.01	-0.06	0.44	-0.03	-0.03
368	-0.09	-0.09	0.05	-0.11	-0.02
369	0.59	0.54	0.72	0.45	0.74
372	1.56	1.57	1.66	1.56	1.73
373	1.26	1.23	0.71	1.31	1.01
374	-0.32	-0.51	-0.04	-0.4	-0.41
375	2.32	2.37	2.1	2.34	2.1
377	2.73	2.7	2.25	2.73	2.56
378	1.41	1.43	1.6	1.26	1.69
379	0.36	0.57	0.07	0.2	0.23
380	-1.17	-1.21	-1.19	-1.17	-1.18
381	1.52	1.69	1.5	1.63	1.6
382	0.93	0.83	0.98	0.81	1.04
383	-0.37	-0.37	-0.4	-0.4	-0.56
384	0.07	0.11	-0.01	0.26	0.09
387	2.27	2.17	2.46	2.14	2.44
388	2.19	2.39	2.57	2.4	2.6
389	1.37	1.22	1.42	0.98	1.37
390	0.32	0.44	0.69	0.38	1.65
391	0.74	0.67	0.62	0.72	0.56
392	1.33	1.23	1.46	1.52	1.66
393	0.47	0.42	0.77	0.4	0.33
394	1.79	1.55	1.96	1.81	1.65
395	0.33	0.27	0.51	0.33	0.1
396	2.08	2.15	1.9	2.05	1.87
397	0.98	0.77	0.96	0.55	0.77
398	1.57	1.8	0.29	1.66	0.39
399	-0.11	-0.13	0	-0.22	-0.05
400	1.47	1.43	0.92	1.37	1.02
401	-0.46	-0.61	-0.49	-1.17	-0.41
402	1.19	1.15	0.94	1.34	0.75
403	1.29	1.26	1.29	1.21	1.36
405	0.72	0.6	0.78	0.73	0.76
406	0.64	0.67	0.4	0.68	0.57
407	-0.56	-0.51	-0.31	-1.17	-0.29
408	1.41	1.19	0.36	1.23	0.52
409	1.38	1.4	1.37	1.31	0.98
410	0.71	0.7	0.71	0.88	0.21
411	0.4	0.37	0.34	0.48	0.69
412	0.99	0.96	0.42	0.86	0.55
414	0.25	0.34	0.15	0.3	0.82
415	-0.1	-0.04	-0.21	-0.1	0.08
416	-0.09	0.02	-0.37	-0.1	0.28
417	-0.56	-1.21	-0.49	-1.17	-0.56
418	-1.17	-1.21	-1.19	-1.17	-1.18
419	0.11	0.18	-0.24	0.28	-0.06
420	-0.56	-0.39	-0.4	-0.29	-0.32
421	0.86	0.84	1.44	0.86	1.08
427	1.76	1.66	2.1	1.65	1.95
429	0.13	0.21	1.39	0.26	1.29
430	-0.18	-0.1	-0.31	-0.29	-0.26
432	0.01	0.07	0.25	0.16	0.14
433	-0.27	-0.17	-0.19	-0.27	-0.41
434	-0.56	-0.61	-0.21	-1.17	-0.41
435	0.36	0.43	0.22	0.55	0.36
436	-0.37	-0.51	-0.27	-0.33	-0.14
438	-0.35	-0.51	-0.49	-0.36	-0.41
439	1.09	1.18	1.11	1.15	1.29
440	1.13	1.32	1.12	1.25	0.91
443	1.15	0.7	0.43	1.25	0.36
444	1.62	1.6	1.71	1.65	1.84
445	1.15	1.09	0.01	1.04	0.01
447	-0.37	-0.51	-1.19	-0.4	-0.46
449	-1.17	-1.21	-1.19	-1.17	-1.18
450	-1.17	-1.21	-1.19	-1.17	-1.18
451	-1.17	-1.21	-1.19	-1.17	-1.18
454	-0.46	-0.51	-1.19	-1.17	-1.18
455	-1.17	-0.61	-1.19	-0.4	-1.18
460	1.92	1.96	2.16	1.97	2.12
462	-0.56	-0.42	-1.19	-0.55	-0.46
463	0.52	0.49	0.82	0.71	0.55
466	0.17	0.2	0.28	0.14	0.38
467	0.4	0.17	0.21	0.27	0.19
468	1.73	1.8	1.92	1.73	2.07
469	-0.35	-0.42	-0.4	-0.55	-1.18
471	0.92	0.94	0.81	0.94	1.24
472	1.17	1.02	1.63	1.15	1.42
473	1.73	1.67	1.97	1.83	1.38
474	-1.17	-1.21	-0.58	-1.17	-1.18
475	0.69	0.68	0.53	0.65	0.7
476	2.65	2.72	1.73	2.83	1.93
477	3.14	3.15	2.74	3.09	1.6
478	2.92	3.04	2.15	2.84	2.25
479	-0.56	-0.39	-1.19	-0.4	-0.35
480	-0.21	-0.15	-0.09	0.04	-0.05
481	2.86	2.93	1.17	2.87	1.37
482	2.68	2.66	2.9	2.5	2.63
483	1.3	1.29	1.21	1.07	1.5
484	-1.17	-1.21	-1.19	-0.55	-1.18
485	-0.56	-0.46	-1.19	-0.36	-1.18
486	-0.26	-0.2	-0.04	-0.26	0.07
487	-0.21	-0.15	-0.05	-0.15	0.01
488	2.6	2.68	2.42	2.68	2.5
489	0.08	0.04	-0.02	0.02	-0.11
490	2.23	2.36	0.67	2.46	1.06
491	2.09	2.35	0.95	2.42	0.92
492	1.26	1.39	0.04	1.41	0.18
493	2.21	2.17	2.11	2.31	2.02
495	-0.15	-0.12	-0.49	-0.18	-0.56
496	-1.17	-1.21	-0.49	-1.17	-1.18
501	1.65	1.36	1.86	1.54	1.52
523	2.34	2.38	1.59	2.34	1.65
525	-0.41	-0.37	0.02	-0.36	0.13
526	2.64	2.69	1.71	2.54	1.76
527	2.31	2.54	1.71	2.36	1.71
528	2.12	2.13	1.41	2.16	1.38
529	2.16	2.22	1.28	2.27	1.48
533	1.59	1.74	1.25	1.6	0.79
534	2.27	2.27	1.45	2.19	1.96
535	2.42	2.52	1.83	2.43	1.91
537	2.12	2.1	1.74	2.14	1.9
538	0.08	0.07	0.32	0.11	0.27
540	0.38	0.57	0.13	0.29	0.23
541	-1.17	-1.21	-1.19	-0.55	-0.46
542	-1.17	-0.61	-1.19	-1.17	-1.18
543	-1.17	-1.21	-1.19	-1.17	-1.18
544	-1.17	-1.21	-1.19	-1.17	-1.18
545	0.63	0.55	0.68	0.69	0.51
546	1.54	1.48	1.08	1.57	1.81
547	3.22	3.11	2.53	3.23	2.33
549	0.56	0.54	0.26	0.56	0.33
550	1.17	1.21	1.46	1.2	1.6
551	-0.37	-0.31	-1.19	-0.55	-1.18
552	-0.09	-0.1	-0.18	-0.17	0.01
553	-1.17	-0.61	-0.58	-1.17	-1.18
554	-0.37	-0.46	-1.19	-0.55	-0.46
558	0.91	1.1	1.35	0.84	0.55
563	-0.09	-0.1	-0.17	-0.03	0.14
566	-0.2	-0.27	-0.05	-0.09	-0.22
567	2.74	2.42	3.02	2.28	2.81
570	-0.15	-0.19	-0.23	-0.14	-0.24
571	0.49	0.29	0.77	0.33	0.77
572	0.86	1.08	0.72	0.95	0.79
573	1.16	1.25	1.11	1.06	0.73
575	2.02	2.33	1.91	1.95	1.7
576	2.48	2.62	1.76	2.4	1.55
577	1.28	1.35	1.33	1.57	1.53
578	0.24	0.24	0.24	0.23	0.31
579	-1.17	-1.21	-0.4	-1.17	-0.22
580	-0.04	-0.01	0.32	0	0.47
581	0.51	0.43	0.64	0.38	0.63
582	0.83	0.94	1.19	1.01	0.94
583	1.45	1.47	2	1.52	2.04
585	0.43	0.45	0.6	0.56	0.45
586	1.01	0.9	0.22	0.95	0.31
587	0.31	0.44	0.38	0.35	0.27
590	0.26	0.33	1.38	0.19	2.19
593	0.22	0.39	0.64	0.46	0.6
594	0.54	0.46	0.54	0.53	0.86
595	1.1	1.05	1.56	0.65	2.27
596	0.72	0.59	0.83	0.56	1.02
597	-0.1	-0.42	-0.07	-0.4	-0.16
598	1.49	1.53	1.16	1.46	1.19
599	2.06	2.02	1.18	2.03	1.08
600	-1.17	-0.61	-0.44	-0.46	-0.32
601	-1.17	-1.21	-1.19	-1.17	-1.18
602	0.09	-0.04	0.12	-0.07	0.01
604	0.98	0.93	1.85	0.99	1.84
605	0.84	0.76	1.4	0.97	1.28
606	-0.21	-0.13	-0.22	-0.22	-0.22
607	0.84	0.76	0.92	0.76	0.75
