gene	GSM2230612	GSM2230611	GSM2230613
57410	1.07	0.9	1.12
57412	-0.54	-1.03	-0.4
57414	0.54	0.44	0.41
57415	0.49	0.46	0.47
57418	0.77	0.93	1.31
57419	-0.26	-0.54	-1.48
57446	0.94	0.96	0.48
57447	-0.36	-0.5	-0.44
57448	1.55	1.29	1.24
57449	-0.2	-0.1	-0.1
57451	-0.92	-0.4	-0.97
57452	-0.61	-0.72	-0.97
57453	-1.63	-1.53	-1.48
57455	0.71	0.69	0.71
57456	0.47	0.4	0.43
57458	-0.1	0.62	-0.01
57459	0.94	0.86	0.63
57460	0.12	-0.1	-0.01
57462	-0.51	-0.17	-0.34
57463	-0.08	-0.08	-0.11
57464	-0.43	-0.47	-0.63
57465	0.59	0.25	0.06
57466	0.72	0.53	0.45
57467	-0.81	-0.76	-0.78
57468	-0.3	-0.48	-0.57
57469	-1.04	-1.03	-0.59
57470	0.25	0.48	0.52
57471	-1.16	-0.9	-0.97
57472	1.05	0.85	0.91
57473	0.8	0.65	0.62
57475	-0.24	-0.19	-0.34
57476	0.22	0.11	0.18
57477	0.6	0.33	0.11
57478	0.66	0.18	0.4
57479	0.97	0.74	0.84
57480	-0.06	0.15	-0.97
57484	0.06	-0.19	-0.38
57486	0.21	0.33	0.37
57488	1.23	1.03	0.95
57489	0.49	0.08	0.15
57491	-0.43	-0.44	-0.24
57492	0.81	0.7	0.6
57493	0.63	0.94	-0.09
57494	-1.16	-1.03	-1.48
57495	0.03	-1.53	-0.73
57496	0.87	0.51	0.37
57497	-1.63	-0.46	-1.48
57498	1.33	1.06	0.56
57504	0.02	0.1	0.3
57505	-0.02	0.04	-0.01
57506	0.43	0.57	0.62
57507	0.16	0.08	0.2
57508	0.51	0.33	0.27
57509	-0.13	-0.21	-0.19
57510	0.84	0.93	0.86
57511	0.48	0.42	0.06
57512	-0.98	-1.53	-0.97
57513	0.14	0.27	0.22
57514	0.8	1.29	0.64
57515	2.25	2.04	1.48
57519	0.11	-0.11	0.19
57520	-0.07	-0.13	-0.12
57521	1.02	0.86	0.84
57522	0.25	0.2	-0.49
57523	0.19	-1.53	-1.48
57524	-0.5	-0.35	-0.42
57526	-1.04	-0.68	0.86
57528	-1.63	-1.53	-1.48
57530	-0.58	-0.61	-0.49
57531	0.2	0.08	0.13
57532	1.01	0.71	0.54
57533	0.57	0.93	0.35
57534	1.21	0.81	0.77
57535	-1.63	-0.82	-1.48
57536	0.02	-0.08	-0.09
57537	1.77	1.33	-0.5
57538	-0.81	-0.72	-0.86
57539	0.34	-0.01	0.01
57541	0.14	0.03	-0.13
57542	0.52	0.56	0.24
57544	1.04	0.82	-0.16
57545	0.44	0.03	0.01
57546	-0.22	-0.15	-0.07
57547	-0.15	-0.21	-0.38
57549	-0.6	-0.59	-0.45
57551	1.37	0.9	0.8
57552	0.47	0.33	0.97
57553	0.4	0.49	0.06
57554	-0.52	-0.56	-0.56
57555	0.37	0.38	0.44
57556	0.56	0.34	-0.37
57558	-0.19	-0.13	-0.22
57559	0.09	-0.15	0.32
57560	0.4	0.13	0.01
57561	-0.09	0.29	0.65
57562	-0.31	-0.42	-0.38
57563	-0.06	-0.09	-0.23
57565	-0.98	-1.03	-1.48
57567	-0.05	0.21	0.12
57568	0.38	0.53	0.03
57569	-0.08	-0.23	-0.35
57570	0.11	0.08	0.08
57571	-0.38	-0.46	-0.43
57572	-0.1	-0.16	0.49
57573	-0.21	-0.23	-0.46
57574	-0.07	-0.5	-0.35
57575	-0.64	-0.33	-0.78
57576	-0.63	-0.23	-0.49
57577	-0.2	-0.21	-0.24
57578	-0.57	-0.76	-0.73
57579	0.57	0.15	0.02
57580	0.58	1.13	-0.06
57582	-0.81	-0.9	-1.48
57583	0.89	0.79	0.74
57584	1.19	0.63	0.76
57585	0.56	0.45	0.3
57586	-0.54	-0.51	-0.31
57587	-0.08	-0.04	0.07
57589	0.55	0.33	0.13
57590	0.81	0.68	0.59
57591	0.04	0.19	0.63
57592	0.55	0.62	0.66
57593	-0.37	-0.9	-0.63
57594	-0.12	-0.08	-0.17
57595	0.1	0.38	-0.16
57596	-0.71	-0.9	-0.34
57597	0.53	0.59	0.68
57599	0.63	0.47	0.44
57600	0.79	0.68	0.24
57602	0.57	0.5	0.52
57605	0.62	0.45	0.47
57606	0.65	0.67	0.62
57609	0.6	0.72	0.32
57610	0.13	0.31	0.35
57611	-0.65	-0.72	-0.86
57613	0.21	0.19	0.2
57616	0.05	-0.04	-0.05
57617	0.39	0.56	0.44
57619	-0.27	-0.23	-0.44
57620	0.53	0.67	0.54
