gene	GSM2230612	GSM2230611	GSM2230613
1	-1.63	-1.53	-1.48
2	-1.63	-1.53	-1.48
9	-0.43	0.06	0.18
10	-1.16	-1.53	-1.48
12	1.32	1.4	-0.45
13	-1.63	-1.53	-1.48
14	1.44	1.29	1.54
15	-0.72	-0.61	-0.69
16	1.08	1.44	1.62
18	-0.43	-0.4	-0.69
19	0.78	-0.4	0.49
20	1.11	0.77	0.35
21	0.74	0.54	0.09
22	0.67	0.24	0.21
23	1.09	1.26	1.05
24	-0.29	-0.52	-0.36
25	1.16	1.25	1.13
26	-0.72	-0.76	-1.48
27	1.24	0.9	1.09
28	-1.63	-1.53	-1.48
29	0.53	0.46	0.57
30	0.98	1	1.04
31	1.08	0.95	0.96
32	-0.37	-0.3	-0.56
33	1.5	1.25	1.08
34	0.88	0.8	0.43
35	0.94	0.97	1.4
36	0.98	0.69	0.24
37	0.88	1.14	0.71
38	1.59	1.28	1.13
39	1.06	1.49	1.03
40	-1.63	-1.53	-1.48
41	-0.11	0.08	-0.1
43	-0.42	-0.76	-0.69
47	1.36	1.58	1.22
48	0.22	0.7	0.54
49	-1.63	-1.53	-1.48
50	1.47	1.59	1.45
51	1.06	1.34	0.82
52	1.39	1.52	1.32
53	0.79	0.92	0.38
55	-0.56	-0.59	-0.39
56	-0.57	-0.61	-0.55
58	-0.62	-1.53	-0.45
59	2.33	-0.18	1.79
60	2.92	2.78	2.68
70	-0.74	-1.53	-1.48
71	2.88	3.02	2.65
72	-0.38	-0.59	-0.5
81	2.46	2.39	1.94
86	1.08	1.21	1.12
87	1.55	1.13	1.75
88	-0.45	-0.4	-0.69
90	1.12	0.72	0.39
91	-0.15	-0.15	-0.07
92	0.58	0.21	-0.03
93	-0.47	-0.43	-0.39
94	-0.63	-0.23	-0.63
95	0.25	0.08	0.5
97	0.25	0.68	0.97
98	0.87	1.2	0.89
100	-0.25	-0.2	-0.02
101	-0.27	0.03	0.15
102	2.17	2.03	1.14
103	0.5	0.5	0.8
104	-0.04	-0.06	-0.38
105	-0.47	-0.59	-0.59
107	0.62	0.31	-0.01
108	-1.63	-1.53	-1.48
109	-0.31	-0.32	-0.1
111	-0.64	-0.3	-0.69
112	0.6	0.68	0.66
113	-0.42	-0.59	0.4
114	-1.63	-1.53	-1.48
115	-0.13	-0.14	-0.3
116	-1.16	-1.03	-0.73
117	-0.59	-0.68	-0.61
118	1.62	1.72	1.36
119	-0.13	0.1	-0.34
120	0.56	1.23	-0.14
123	0.75	1.26	1.31
126	-1.63	-1.03	-1.48
127	-1.63	-1.53	-1.48
128	1.55	1.68	1.35
131	0.91	1.56	1.54
132	1.08	1.69	0.84
133	-0.26	-0.72	-0.23
134	-0.84	-0.82	-0.97
135	-0.36	-1.03	-0.73
136	-0.43	-0.58	-0.3
140	-0.4	-0.39	-0.03
141	1.3	1.28	1.49
142	1.11	1.11	0.96
143	0.29	0.07	0.07
146	-0.03	0.17	-0.33
147	-0.09	0.13	-0.01
148	-0.69	-0.68	-0.97
150	-0.64	-0.36	-0.28
151	-0.65	-0.58	-0.5
152	-0.08	-0.29	-1.48
153	-0.74	-0.41	-1.48
154	-0.37	-0.4	-0.31
155	-0.88	-1.03	-0.78
158	0.8	1.08	1.58
159	1.54	1.36	1.37
160	1.19	1.33	1.29
161	1	1.18	1.09
162	0.76	1.06	1.05
164	0.7	0.65	0.73
165	0.42	-0.16	1.87
166	1.91	2.14	1.86
167	-1.16	-1.53	-1.48
173	-1.16	-1.03	-1.48
174	0.17	0.14	1.05
175	0.89	0.84	1.02
177	-0.44	-0.29	-0.38
178	0.87	0.76	0.58
181	-0.74	-0.63	-0.56
182	0.5	0.73	-0.12
183	-0.07	-0.18	-1.48
185	-1.16	-1.03	-1.48
186	-1.63	-1.53	-1.48
187	-0.98	-0.9	-0.97
189	-1.63	-1.53	-1.48
190	-1.63	-1.53	-1.48
191	1.46	1.81	1.92
196	-0.07	0.02	0.49
197	-0.84	-0.72	-1.48
199	-1.04	-1.53	-1.48
203	1.44	1.76	1.36
204	0.77	1	1.37
205	0.24	-0.01	0.12
207	2.06	2.26	2.1
208	1.23	1.35	1.59
210	0.12	0.2	1.14
211	0.64	0.32	0.47
212	-0.76	-0.68	-0.78
213	-1.63	-1.53	-1.48
214	0.93	0.51	0.71
215	0.03	0.27	0
216	2.59	-0.2	-0.48
217	1.41	1.38	1.06
218	-0.2	-0.4	0.7
219	-0.46	-0.52	-1.48
220	0.65	1.57	0.11
221	-0.1	0.5	-0.22
223	0.75	0.73	0.77
224	0.41	0.63	0.29
225	-0.42	-0.37	-0.42
226	2.44	2.36	2.3
229	-1.63	-1.03	-1.48
230	-0.55	-0.52	-0.37
231	1.84	1.84	1.8
238	-0.78	-0.68	-1.48
239	-0.6	-0.66	-0.73
240	-0.88	-0.52	-0.97
241	-1.63	-0.59	-0.49
242	-1.63	-1.53	-1.48
246	-1.16	-1.03	-1.48
247	-0.55	-0.4	-0.35
248	-1.04	-0.5	-0.97
249	-0.98	-1.03	-0.78
250	-0.62	-0.19	-1.48
251	-0.39	-0.2	-1.48
257	-1.63	-1.53	-1.48
258	-1.63	-1.53	-1.48
259	-1.63	-1.03	-1.48
262	1.89	1.5	1.34
266	-1.63	-1.53	-1.48
267	1.41	1.55	1.31
268	-0.68	-0.47	-0.5
269	-0.72	-0.66	-0.59
270	-0.88	-0.61	-0.61
271	0.66	0.48	0.98
272	1.21	0.9	0.52
273	-0.29	-0.16	-0.78
274	1.11	1.03	2.21
275	-0.23	-0.24	-0.27
279	-0.53	-0.52	-0.78
280	-0.81	-0.9	-0.78
283	-0.45	-0.24	-0.34
284	-1.63	-1.53	-0.49
285	0.42	-0.22	0.1
286	-0.47	-0.56	-0.17
288	-0.22	-0.42	1.13
290	-1.04	-1.53	-0.4
291	2	2.21	2.22
292	2.39	2.37	2.34
301	3.43	3.3	2.43
302	2.6	2.78	2.43
306	2.08	1.76	1.25
307	1.03	1.09	0.88
308	2.4	2.42	2.12
309	1.3	2.11	1.46
310	1.56	1.86	1.68
311	0.65	0.73	1.27
312	-1.04	-0.9	-1.48
313	-0.57	-0.72	-0.69
314	-0.23	-0.2	-0.23
316	-0.14	0.08	0.02
317	0.48	0.28	0.25
318	0.36	0.93	1.2
319	-0.78	-0.61	-0.69
320	-0.11	-0.35	-0.57
321	-0.78	-0.76	-1.48
322	0.11	0.25	0.08
323	0.47	0.61	0.42
324	1.38	1.24	0.81
325	-1.63	-1.53	-1.48
326	-0.56	-0.59	-0.78
327	0.6	0.59	0.9
328	0.68	0.92	1.41
329	0.32	0.05	-0.01
330	-0.25	-0.39	-0.18
331	1.01	0.72	0.72
332	1.61	1.85	1.94
333	-0.76	0.12	-0.45
334	1.82	1.11	0.76
335	-0.88	-0.9	-0.66
336	-0.6	-0.42	-0.3
337	-1.16	-1.53	-1.48
338	-1.63	-1.53	-0.97
339	-0.05	-0.26	-0.08
343	-0.66	-1.53	-0.97
344	-1.63	-1.53	-1.48
346	-0.35	-0.32	-0.31
347	-0.11	0.41	-0.29
348	-0.23	-0.34	-0.37
350	-0.71	-0.48	-0.57
351	2.29	2.12	1.24
353	0.57	1.23	2.11
354	-1.16	-1.53	-1.48
355	-0.08	-0.26	-0.42
356	-1.16	-1.03	-1.48
357	0.69	0.86	-0.32
358	-0.09	-0.1	2.38
359	-1.63	-1.53	-1.48
360	-0.74	-0.59	-0.3
361	-0.81	-1.53	-0.97
362	-0.46	-0.44	-0.24
363	-1.63	-1.53	-1.48
364	-0.52	-0.56	-0.59
366	-0.84	-0.61	-0.78
367	-0.28	-0.76	0.34
368	-1.63	-0.82	-1.48
369	1.35	1.22	1.19
372	1.81	1.61	1.51
373	0.3	0.18	0.3
374	-0.19	-0.23	0.15
375	2.09	2.28	2.31
377	1.02	1.17	1.45
378	2.06	1.95	1.82
379	-0.35	-0.33	0.06
381	1.32	1.66	1.78
382	1.47	1.23	1.42
383	-0.81	-0.9	-0.86
384	-0.53	-0.44	-0.5
387	2.56	2.45	2.39
388	1.79	2.1	1.33
389	2.13	2.35	2.16
390	1.1	1.51	-0.04
391	0.61	0.96	0.92
392	0.69	0.97	1.13
393	-0.53	-0.43	-0.56
394	0.94	0.36	0.39
395	-0.05	-0.36	0.27
396	2.17	2.44	2.29
397	-0.12	-0.34	2.38
398	-0.55	-0.5	-0.31
399	-0.58	-0.52	-0.66
400	1.96	1.8	1.52
401	-1.16	-1.53	-1.48
402	1.15	1.15	1.35
403	1.05	1.09	0.81
405	0.72	0.73	0.41
406	0.04	0.16	-0.04
407	-0.78	-0.9	-0.97
408	0.12	0.56	-0.01
409	0.07	0.12	0.13
410	0.12	0.03	0.35
411	0.7	0.47	0.44
417	-1.63	-1.53	-1.48
419	-0.35	-0.02	-0.78
420	-1.63	-1.53	-0.97
421	-0.35	-0.11	-0.36
427	1.91	1.83	1.5
429	-1.04	-1.53	-1.48
430	-0.98	-1.03	-0.97
432	-0.32	0.15	0.16
433	-1.63	-0.61	-0.97
434	-0.92	-0.68	-0.97
435	0.26	0.45	0.65
439	1.08	1.31	1.73
440	0.67	1.37	1
443	0.34	0.29	-0.04
444	0.66	0.4	1
445	1.21	1.2	0.46
460	-0.66	-0.82	-0.66
462	-0.49	-0.43	-0.36
463	0.74	0.54	0.58
466	0.46	0.67	0.84
467	-0.2	0.24	-0.3
468	1.3	1.53	1.69
471	1.32	1.13	1.58
472	0.57	0.19	0.48
473	0.59	0.77	1.1
474	-1.63	-1.53	-1.48
475	1.82	2.05	2.15
476	2.32	2.09	1.64
477	-0.13	-0.82	-1.48
478	-0.54	-0.59	-0.63
479	-1.16	-1.53	-1.48
480	-1.04	-1.53	-1.48
481	-0.28	-0.56	-0.22
482	-0.11	-0.76	-0.78
483	1.93	1.6	1.62
487	-0.68	-0.63	-0.73
488	1.94	1.53	1.5
489	-0.69	-0.82	-0.52
490	1.48	0.66	0.62
491	-0.92	-1.03	-0.97
492	-0.84	-0.9	-0.78
493	-0.16	-0.16	-0.41
495	-1.63	-1.53	-1.48
496	-1.63	-1.53	-1.48
498	2.36	2.21	2.18
501	0.42	0.48	0.54
506	2.76	2.58	2.55
509	2.42	2.36	2.48
513	1.83	1.97	1.93
515	2.46	2.29	2.08
516	1.77	1.92	2.08
517	-0.05	0.07	0.59
518	2.55	2.5	2.55
522	2.09	1.96	1.89
523	1.5	1.32	0.9
525	-0.65	-0.54	-1.48
526	0.99	1.05	1.05
527	1.89	1.91	1.83
528	1.05	1.15	1.13
529	1.86	2.01	1.59
533	2.08	2.17	2.37
534	-0.25	-0.23	-0.26
535	1.05	0.77	0.38
537	1.93	1.86	1.56
538	0.28	0.07	-0.1
539	2.34	2.21	2.26
540	-0.98	-1.03	-1.48
545	0.57	0.07	0.34
546	1.17	0.97	0.83
547	-0.27	-0.2	-0.46
549	0.05	0.11	0.26
550	1.32	1.24	1.49
551	-1.63	-1.53	-1.48
552	-0.43	-0.9	-1.48
553	-1.16	-1.53	-0.86
554	-0.92	-1.53	-1.48
558	2.35	2.39	2.25
563	-0.68	-1.53	-1.48
567	2.23	1.8	2.13
570	-1.04	-0.76	-0.73
571	0.6	0.55	0.26
572	1.16	1.61	1.86
573	1.15	1.58	1.42
575	-1.63	-1.03	-0.73
576	-0.64	-0.51	-0.53
577	-0.45	-0.39	-0.61
578	1.03	1.39	1.36
579	-0.17	-0.13	-0.44
580	0.41	0	0.05
581	2.21	2.18	2.21
582	-0.05	-0.22	-0.22
583	-0.32	-0.17	-0.22
585	0	-0.14	-0.17
586	-0.44	-0.41	0.55
587	0.36	0.55	0.92
590	-0.2	-0.17	-0.86
593	0.21	0.41	0.35
594	0.02	0.02	0.01
595	2.95	3.07	2.23
596	0.69	0.37	-0.11
597	-0.64	-0.76	-0.53
598	1.9	1.9	1.5
599	0.42	0.44	0.32
602	-0.62	-0.45	-0.31
604	0.01	-0.06	0.04
605	0.48	-0.04	0.23
607	0.44	0.58	0.23
608	-1.16	-1.53	-1.48
610	-0.09	0.07	-0.24
611	-0.81	-0.66	-0.69
613	0.89	1.07	0.8
617	0.33	0.26	0.31
622	-0.63	-0.3	-0.33
623	-1.04	-1.53	-1.48
624	-0.98	-1.53	-1.48
627	-0.03	-0.38	0.12
629	-0.37	-0.23	-0.39
631	-1.16	-0.82	-0.63
632	-0.23	-0.24	-0.43
633	1.92	-0.76	2.19
634	-0.4	-0.37	-0.86
635	-0.88	-1.53	-0.78
636	0.35	0.3	-0.07
637	0.37	0.53	0.34
638	-0.64	-0.3	-0.31
639	-0.98	-0.82	-0.57
640	-1.63	-1.53	-1.48
641	0.18	0.01	0.12
642	0.93	1.06	0.77
643	-0.5	-0.56	-0.59
644	1.01	1.2	1.19
645	1.41	1.4	2.12
646	-1.63	-1.53	-0.97
649	1.72	1.61	1.34
650	-0.39	-1.03	1.02
651	-0.63	-0.82	-0.86
652	-0.98	-0.72	-0.47
653	-0.72	-0.61	-0.97
654	-0.72	-1.53	-0.86
655	-0.58	-0.47	-0.49
657	1.15	0.87	0.79
658	-1.04	-1.53	-1.48
659	1.24	0.62	0.53
660	-1.63	-1.53	-1.48
661	0.2	0.13	0.42
662	0.22	0.31	0.6
663	1.75	1.59	1.51
664	1.42	0.92	1.36
665	1.63	1.45	1.25
666	-0.37	-0.29	0.86
668	-0.71	-1.53	-1.48
669	0.36	0.6	0.38
670	0.31	0.5	0.4
671	-1.63	-1.53	-1.48
672	0.5	0.25	0.32
673	0.43	0.14	0.14
675	0.11	0.07	0.13
676	-0.22	-0.21	-0.3
677	0.62	0.56	0.06
678	1.41	1.21	1.53
680	-1.63	-1.53	-1.48
682	2.46	2.44	2.31
683	-0.74	-1.03	-0.78
685	0.09	0.11	0.47
686	0.35	0.42	0.52
687	0.09	0.14	0.13
688	-0.33	-0.38	-0.25
689	2.27	2.51	2.59
694	0.63	0.98	1.04
695	-1.16	-1.53	-1.48
696	-1.63	-1.53	-0.97
699	0.87	0.72	0.62
701	0.87	0.9	0.9
705	0.42	0.65	0.74
706	1.46	2.26	2.42
708	1.83	1.77	1.96
710	-1.63	-1.53	-0.52
712	-1.63	-1.53	-1.48
713	-1.63	-1.03	-1.48
714	-1.63	-1.53	-1.48
715	-0.42	-0.68	-0.26
716	-0.54	-0.66	-0.4
717	-0.46	-0.37	-0.37
718	-0.69	-1.53	-0.97
719	-0.45	-0.59	-0.11
721	-0.32	-0.36	-0.46
726	0.27	0.51	-0.04
727	-1.16	-1.53	-0.63
728	-0.92	-0.66	-0.97
729	-0.88	-0.82	-0.97
730	-1.63	-1.53	-0.97
731	-0.76	-0.68	-1.48
732	-1.63	-1.53	-1.48
733	-0.34	-0.36	-0.42
734	0.02	0.1	0.04
735	-1.63	-1.53	-1.48
738	0.38	0.81	0.91
740	1.24	1.3	1.38
741	0.06	0.24	0.58
744	-1.63	-0.56	-1.48
745	-0.38	-0.28	-0.56
746	0.93	1.19	1.47
747	0.63	0.8	0.36
753	0.34	0.36	-0.1
754	1.65	1.57	1.56
755	0.32	0.59	0.49
757	0.58	0.57	0.14
758	-1.63	-1.53	-1.48
759	-1.63	-1.53	-1.48
760	-0.3	-1.03	-0.97
761	-0.81	-0.68	-0.61
762	-1.63	-1.53	-1.48
763	-0.72	-0.76	-0.78
765	0.47	0.29	-0.69
766	-0.5	-0.47	-0.56
767	-0.81	-0.55	-0.37
768	-0.88	-0.9	-0.4
770	-0.3	-0.26	-0.34
771	-0.78	-0.9	-0.59
773	-0.24	-0.19	0.58
774	-0.6	-0.45	-0.55
775	-0.72	-1.03	-0.59
776	-0.98	-0.66	-0.78
777	-0.55	-0.55	-0.59
778	-0.92	-1.03	-1.48
779	-1.63	-1.53	-1.48
780	1.36	1.5	0.21
781	0.91	0.06	0.45
782	-0.68	-0.61	-0.32
783	-0.58	-0.76	-0.02
784	-0.1	0.31	0.38
785	-0.1	-0.09	-0.35
786	-1.63	-1.53	-1.48
788	0.78	0.82	1.01
790	1.12	1.13	1.44
793	-0.57	-0.54	-0.56
794	-1.63	-1.53	-1.48
795	-1.63	-1.53	-0.97
797	-0.81	-0.9	-0.49
799	-1.16	-0.9	-1.48
810	-1.63	-1.03	-0.97
811	2.35	2.56	2.46
813	2.37	2.29	1.83
814	-0.37	-0.48	-0.48
815	-0.27	-0.4	-0.48
816	0.06	-0.22	-0.14
817	1.31	1.23	1
818	0.85	0.74	0.67
819	0.44	0.87	1.02
820	-0.88	-1.03	-1.48
821	2.29	2.1	1.78
822	2.31	2.14	2.33
823	0.17	0.67	1.23
824	1.86	1.8	1.54
825	-0.98	-1.03	-1.48
826	1.71	1.95	1.85
827	-0.55	-0.63	-0.15
829	1.7	1.96	1.67
830	2.11	1.99	1.83
831	0.51	0.91	0.77
832	1.58	1.86	2.06
833	0.67	0.81	1.1
834	-0.15	0.79	-0.01
835	0.18	0.37	0.26
836	0.37	0.56	1.31
837	0.23	-0.09	-0.25
839	0.08	0.35	0.21
840	0.02	0.03	-0.09
841	0.64	0.52	0.55
842	-0.15	0.01	0.17
844	-0.37	-0.47	-0.97
845	-0.45	-0.09	-0.61
846	-1.16	-1.53	-1.48
847	0.94	1.31	1.06
857	1.14	-0.63	1.35
858	2.11	1.78	1.52
859	-1.63	-1.53	-1.48
860	0.27	0.01	0.19
861	0.66	0.32	0.63
862	-0.31	-0.42	-0.3
863	-0.84	-0.9	-0.86
864	-0.69	-0.72	-0.33
865	0.92	1.05	0.98
866	-1.63	-1.53	-1.48
867	1.23	0.77	0.76
868	0.02	-0.07	-0.03
869	-1.63	-1.53	-0.73
871	2.53	2.61	2.44
873	-0.55	-0.18	-0.26
874	0.83	1.3	1.47
875	-1.04	-1.03	-0.52
881	-1.16	-1.03	-0.97
885	-1.63	-1.53	-0.57
886	-0.88	-1.53	-0.97
887	-1.63	-0.72	-1.48
889	0.73	0.48	0.31
890	1.46	1.58	1.33
891	1.25	1.55	1.54
892	0.39	0.41	0.68
894	1.65	2.05	1.19
896	0.65	1.12	0.92
898	0.86	0.97	0.8
899	0.7	0.95	1.01
900	2.2	2.2	1.77
901	0.72	0.51	0.44
902	0.49	0.61	0.58
904	0.37	0.45	0.48
905	0.91	0.26	0.38
912	-0.41	-0.63	-0.33
914	-1.63	-1.53	-1.48
915	-0.5	-1.03	-0.56
916	-1.63	-0.9	-1.48
917	-1.16	-1.53	-1.48
919	-0.84	-1.53	-0.73
920	-1.16	-0.72	-0.86
921	-1.63	-1.53	-1.48
922	-1.63	-1.53	-1.48
923	-1.63	-1.53	-1.48
924	-1.63	-1.53	-1.48
925	-0.59	-0.59	-0.44
926	-1.63	-0.9	-0.97
928	2.68	2.71	2.56
929	-1.16	-1.53	0.03
930	-1.63	-1.53	-1.48
931	-0.6	-0.63	-0.66
932	-1.04	-1.53	-1.48
933	-0.6	-0.63	-0.57
939	-0.57	-0.55	-0.66
940	-0.19	-0.37	-0.53
941	-0.4	-0.35	-0.15
942	-0.66	-0.76	-0.69
943	-1.63	-1.53	-1.48
944	-1.63	-1.53	-1.48
947	-0.29	-0.3	0.58
948	-1.04	-0.82	-1.48
949	0.82	1.43	1.33
950	1.65	1.71	1.08
951	-1.63	-1.03	-0.97
952	-0.03	-0.2	-0.46
953	-0.53	-0.66	-0.45
954	-0.38	-0.76	-1.48
955	0.08	0	0.25
956	-1.16	-1.53	-1.48
957	0.34	0.44	0.07
958	-0.37	-0.35	-0.5
959	-1.63	-1.53	-1.48
960	2.27	2.02	1.73
961	1.33	1.31	1.29
962	-1.63	-1.53	-1.48
963	0	-0.76	-0.26
966	-0.5	-0.52	-0.52
967	3.09	2.7	2.7
968	-0.08	-0.33	-0.32
969	-0.92	-0.72	-0.86
970	-1.63	-1.53	-1.48
971	-0.64	-0.47	-0.56
972	-1.16	-0.9	-0.97
973	-1.04	-0.68	-0.78
974	-1.63	-1.53	-1.48
975	2.26	2.07	1.48
976	0.38	0.74	0.2
977	2.52	2.4	2.17
978	-0.37	-0.48	0.44
983	2.06	2.18	2.14
987	0.21	0.14	-0.11
988	0.78	0.76	0.63
989	2.44	1.9	1.91
990	0.47	0.49	0.42
991	0.61	1.33	1.7
993	0.36	0.43	0.39
994	0.71	0.94	1.28
995	0.46	0.3	0.25
996	0.98	0.82	0.76
997	1.67	1.64	2.05
999	-0.98	-0.76	-1.48
1000	1.73	1.55	1.08
1001	-0.51	-0.44	-0.4
1002	-0.59	-0.76	-0.69
1003	-1.63	-1.53	-0.41
1004	0.57	0.3	-0.12
1005	-1.04	-0.82	-0.86
1006	-1.63	-0.9	-1.48
1007	-1.63	-1.53	-1.48
1008	-0.16	-0.24	-0.73
1009	-0.88	-0.61	-1.48
1010	-1.63	-1.53	-1.48
1012	-0.34	-1.53	0.84
1013	-1.16	-0.9	-1.48
1014	-1.63	-1.53	-1.48
1015	-0.64	-0.68	-0.55
1016	-1.63	-1.53	-1.48
1017	0.79	0.84	0.95
1019	2.19	2.27	2.37
1020	1.11	0.92	1.02
1021	1.17	1.07	0.39
1022	0.96	1.15	1.44
1024	0.6	0.47	0.34
1025	0.73	0.95	1
1026	1.5	1.81	1.06
1027	1.24	0.75	0.91
1029	-1.63	0.26	0.22
1030	-1.63	1.17	-0.31
1031	1.17	1.37	1.24
1032	1.32	1.32	1.3
1033	0.69	0.72	0.7
1036	-0.57	-0.56	-0.39
1039	0.35	0.48	0.65
1040	-0.92	-1.53	-0.97
1044	-1.16	-1.53	-0.97
1045	-1.63	-1.53	-0.86
1046	-1.63	-1.53	-0.97
1047	-0.37	-0.34	-0.78
1050	0.09	-0.18	0.03
1051	0.09	0.1	0.56
1052	0.39	0.21	0.46
1053	-1.63	-1.53	-0.97
1054	0.9	0.82	0.82
1056	-1.63	-1.53	-0.97
1058	1.77	1.83	2.28
1059	1.85	2.14	2.27
1060	0.53	0.44	0.33
1062	0.91	0.83	0.84
1063	1.08	0.78	0.9
1066	-1.63	-1.53	-1.48
1068	-1.63	-1.53	-1.48
1069	1.05	0.81	0.9
1070	1.15	1.25	1.52
1072	2.57	2.6	2.47
1073	1.76	1.69	1.34
1075	0.41	0.35	-0.51
1080	-1.04	-1.03	-0.97
1081	-1.63	-1.53	-1.48
1101	-0.74	-1.03	-0.73
1102	1.22	0.68	1.26
1103	-1.16	-1.53	-1.48
1104	0.42	0.75	1.21
1105	1.13	0.97	1.01
1106	0.59	0.36	0.42
1107	1.14	1.23	0.95
1108	1.75	1.73	1.58
1109	-1.63	-1.53	-1.48
1111	0.22	0	0.09
1113	-0.98	-1.03	-1.48
1114	-0.78	-0.76	-0.97
1116	-1.63	-0.9	-1.48
1118	-1.63	-0.9	-1.48
1119	0.48	0.32	0.41
1120	0.21	0.39	0.69
1121	0.53	0.35	0.2
1122	0	-0.15	-0.03
1123	0.15	-0.24	0.92
1124	-0.49	-0.41	-0.52
1128	-0.55	-0.44	-0.57
1129	-1.63	-1.03	-1.48
1130	0.37	0.29	0.26
1131	-0.3	-0.25	-0.06
1132	-0.88	-0.76	-0.97
1133	-1.16	-1.53	-1.48
1134	-0.41	-0.33	0.24
1135	-0.58	-0.72	-0.69
1136	-1.63	-1.53	-1.48
1137	-0.78	-1.53	-1.48
1138	-0.61	-0.63	-0.97
1139	-1.16	-1.53	-1.48
1140	-0.36	-0.33	-0.16
1141	-0.25	-0.34	-0.47
1142	-0.76	-1.03	-0.78
1143	-0.72	-0.76	-0.63
1144	-1.63	-1.03	-0.97
1145	-1.63	-1.03	-1.48
1146	-1.04	-0.82	-1.48
1147	0.68	0.47	0.33
1149	-1.63	-1.53	-1.48
1152	1.15	1.67	-0.03
1153	1.11	0.77	0.56
1154	-0.31	-0.31	-0.3
1155	1.32	1.48	1.51
1158	-0.63	-0.72	-0.5
1160	-0.98	-1.53	-1.48
1161	-0.19	-0.14	-0.02
1163	1.86	1.94	2.37
1164	1.45	1.79	2.13
1173	2.07	2.19	2.03
1174	1.49	1.88	1.87
1175	1.22	1.4	1.54
1176	1.39	1.28	1.44
1179	-0.35	-0.66	-0.56
1180	-0.84	-0.59	-0.3
1181	-0.09	-0.12	-0.11
1182	0.56	0.41	0.06
1183	1.2	0.96	0.45
1184	0.83	0.79	0.14
1185	0.2	0.39	0.28
1186	1.02	0.84	0.72
1187	-1.04	-1.03	-0.97
1188	-1.63	-1.53	-0.97
1191	-0.59	-0.9	-0.38
1192	2.33	2.27	2.4
1195	1.08	0.58	0.85
1196	0.59	0.39	0.44
1198	0.65	0.62	1.01
1200	1.52	0.91	0.96
1201	-0.11	-0.06	-0.25
1203	1.64	1.28	0.96
1207	1.78	1.76	1.89
1208	-1.63	-1.53	-1.48
1209	1.66	1.58	1.37
1211	1.62	1.88	2.11
1212	0.5	1.38	1
1213	1.94	1.81	1.72
1215	-1.04	-0.82	-1.48
1230	-0.4	-0.66	-0.41
1232	-0.92	-0.9	-1.48
1233	-0.92	-0.82	-0.78
1234	-0.64	-0.59	-0.63
1235	-1.63	-1.53	-1.48
1236	-1.04	-1.53	-0.86
1237	-1.63	-1.53	-1.48
1238	-1.16	-1.03	-1.48
1240	-0.84	-0.52	-0.57
1241	-1.63	-1.53	-1.48
1244	-0.53	-0.63	-0.86
1259	-1.04	-0.9	-1.48
1260	-1.63	-0.9	-1.48
1261	-0.5	-0.55	-0.57
1262	-1.16	-0.66	-1.48
1263	-0.11	0.09	0.62
1264	-0.52	-0.9	-0.53
1265	2.08	1.89	1.99
1266	2.1	2.19	1.54
1267	0.12	1.48	0.46
1268	-0.46	-0.32	-0.53
1269	-0.81	-0.9	-0.86
1270	-0.14	-0.24	-0.51
1271	-0.6	-0.5	-0.97
1272	-0.36	-0.35	-0.33
1277	-0.1	-0.21	0.03
1278	-0.2	-0.49	2.23
1280	-1.04	-1.03	-0.86
1281	1.98	2.25	1.44
1282	2.2	2.31	1.03
1284	2.03	2.14	0.77
1285	-0.23	-0.58	-0.63
1286	-0.01	-0.47	-0.97
1287	-0.38	-0.63	0.22
1288	-0.27	-1.53	-0.15
1289	1.89	1.95	1.46
1290	2.57	2.03	1.46
1291	1.65	2.45	1.19
1292	0.16	1.01	0.5
1293	0.32	-0.19	1.97
1294	0.12	-0.21	-0.34
1295	2.33	1.8	0.89
1296	-0.84	-1.53	-0.63
1297	-0.35	-0.35	-1.48
1298	-1.16	-0.51	-0.97
1299	-0.32	-0.31	-0.46
1300	-0.63	-0.82	-0.86
1301	1.67	-0.39	-0.23
1302	-0.42	-0.36	-0.69
1303	1.78	-0.25	0.37
1305	-1.63	-1.53	-1.48
1306	0.19	2.06	-0.31
1307	1.1	1.38	1.11
1310	-1.63	-1.03	-1.48
1311	-0.98	-1.53	-0.78
1312	1.12	1.54	1.32
1314	1.65	1.63	1.44
1315	1.42	1.12	0.97
1316	1.46	1.49	0.97
1317	0.89	0.96	0.91
1318	0.16	0.59	0.21
1325	-1.04	-1.53	-0.73
1326	-0.4	-0.49	-0.28
1327	2.43	2.5	2.66
1337	1.9	1.79	1.83
1339	-0.53	-1.53	-0.73
1340	2.38	2.3	2.35
1346	-0.46	-0.34	-0.37
1347	2.39	2.18	2.43
1349	2.28	2.3	2.38
1351	2.06	1.88	1.86
1352	0.2	0.18	0.3
1353	0.01	-0.02	-0.04
1355	0.56	0.44	0.28
1356	-0.02	-0.33	-0.13
1357	-1.63	-1.53	-1.48
1358	-0.71	-1.53	-0.73
1359	-1.63	-1.53	-1.48
1360	-0.54	-0.35	-0.49
1361	-1.16	-1.03	-1.48
1362	1.56	1.18	0.76
1363	1.8	1.22	1.18
1364	-1.63	-1.53	-0.97
1365	-1.63	-1.53	-1.48
1366	-0.98	-0.76	-0.97
1368	-0.35	-0.25	-0.59
1369	-1.63	-1.53	-1.48
1370	-0.84	-0.9	-0.78
1371	0.1	0.12	0.02
1373	-1.16	-1.53	-1.48
1374	0.9	0.87	0.27
1375	-0.34	-0.25	-0.25
