gene	GSM2157516	GSM2157515	GSM2157514	GSM2157513
1	-1.49	-1.34	-1.38	-1.42
2	-1.49	-1.34	-1.38	-1.42
9	-0.16	-0.08	-0.07	-0.18
10	-1.49	-1.34	-1.38	-1.42
12	-1.49	-0.47	-1.38	-1.42
13	-1.49	-1.34	-1.38	-1.42
14	1.24	1.11	1.26	1.56
15	-0.99	-0.65	-1.38	-0.9
16	2.21	2.1	2.14	2.27
18	-0.61	-1.34	-0.45	-0.51
19	-0.18	0.2	-0.13	-0.21
20	1.29	1.23	0.76	0.77
21	0.55	0.57	0.02	0.07
22	1.09	1.13	0.96	0.83
23	1.71	1.56	1.54	1.77
24	-0.77	-0.54	-0.54	-0.54
25	1.2	1.24	1.39	1.51
26	-1.49	-1.34	-1.38	-1.42
27	1.14	0.97	1.33	1.12
28	-1.49	-1.34	-1.38	-1.42
29	0.96	1.12	1.08	1.1
30	0.43	0.38	0.17	0.35
31	1.67	1.52	1.7	1.5
32	-0.47	-0.48	-0.42	-0.52
33	1.07	0.93	0.72	0.82
34	0.57	0.6	0.48	0.5
35	0.58	0.4	0.36	0.56
36	0.33	0.46	0.19	0.14
37	1.09	1.26	0.81	0.9
38	0.82	1.13	0.67	0.72
39	1.02	0.99	1.37	1.42
40	-1.49	-1.34	-1.38	-0.9
41	0.1	-0.12	-0.05	0.01
43	-0.55	-0.75	-0.82	-0.72
47	2.23	2.06	2.08	2.1
48	0.95	1.09	1.02	1
49	-1.49	-1.34	-1.38	-1.42
50	1.87	1.73	1.68	1.83
51	0.89	1.16	0.63	0.69
52	1.4	1.1	1.23	1.29
53	0.25	0.55	0.63	0.5
55	-0.44	-0.49	-0.38	-0.44
56	-0.65	-1.34	-1.38	-0.9
58	-0.36	-0.44	-0.6	-0.46
59	-0.16	0.13	2.79	2.87
60	3.82	3.68	3.86	3.84
70	-0.99	-1.34	-1.38	-0.9
71	3.43	3.48	3.6	3.73
72	-0.6	-0.41	0.01	-0.04
81	2.22	2.53	2.13	2.33
86	0.99	1.01	1.26	1.25
87	2.6	2.5	2.72	2.75
88	-0.63	-1.34	-0.66	-0.9
90	0.36	0.56	0.83	0.83
91	0.06	-0.04	0.01	-0.01
92	0.19	0.46	0.41	0.19
93	-0.38	-0.51	-0.41	-0.44
94	-0.99	-1.34	-0.85	-1.42
95	-0.05	-0.19	-0.16	-0.01
97	-0.11	-0.23	-0.27	-0.23
98	-0.5	-0.55	-0.45	-0.42
100	-0.24	-0.29	0	0.04
101	0.21	-0.38	-0.36	-0.34
102	1.83	1.88	1.67	1.53
103	0.57	0.8	0.83	0.83
104	0.61	0.75	1.24	1.27
105	0.21	-0.2	0.03	0.1
107	1.4	-0.28	0.51	0.49
108	-0.82	-0.67	-1.38	-0.9
109	0.89	0.66	0.37	0.43
111	-0.77	-0.69	-0.85	-0.9
112	0.7	0.55	1.05	1.12
113	1.13	1.55	0.71	0.62
114	-0.82	-1.34	-0.82	-1.42
115	-0.25	-0.2	-0.32	-0.34
116	-1.49	-1.34	-1.38	-1.42
117	-0.7	-0.69	-1.38	-1.42
118	2.02	1.88	1.71	1.74
119	0.18	-0.4	-0.2	-0.15
120	0.66	0.28	0.37	0.3
123	1.75	0.92	1.54	1.7
126	-1.49	-1.34	-1.38	-1.42
127	-1.49	-1.34	-1.38	-1.42
128	1.1	1.04	1.26	1.28
131	-0.16	-0.08	0.02	0.05
132	0.8	1.14	0.96	0.85
133	-0.33	-0.3	-0.48	-0.46
134	-0.82	-1.34	-0.82	-1.42
135	-1.49	-1.34	-0.45	-0.36
136	-0.54	-0.63	-0.47	-0.4
140	-0.7	-0.6	-0.63	-0.68
141	0.77	0.61	0.66	0.79
142	1.49	1.34	1.57	1.7
143	0.17	0.58	0.3	0.14
146	-0.61	-0.63	-0.49	-0.46
147	-0.6	-0.27	-0.54	-0.61
148	-0.99	-1.34	-1.38	-1.42
150	-0.61	-0.46	-0.06	0
151	-0.63	-0.78	-0.78	-0.78
152	-1.49	-1.34	-1.38	-1.42
153	-0.99	-0.38	-1.38	-0.9
154	-0.29	-0.25	-0.57	-0.47
155	-1.49	-1.34	-1.38	-1.42
158	0.97	0.65	0.87	1.07
159	1.83	1.6	1.63	1.57
160	1.23	1.1	1	1.22
161	1.58	1.59	1.68	1.75
162	1.17	1.23	0.83	1.02
164	1.77	1.87	1.76	1.54
165	1.93	2.98	1.92	2.12
166	1.83	1.31	1.23	1.51
167	-1.49	-1.34	-1.38	-1.42
173	-1.49	-1.34	-1.38	-1.42
174	-0.54	-0.47	-0.78	-0.68
175	0.63	0.67	0.6	0.59
177	-0.65	-0.81	-0.54	-0.46
178	0.53	0.66	0.55	0.44
181	-0.65	-0.6	-1.38	-0.72
182	1.26	0.56	2.08	2
183	-0.48	-0.33	-0.44	-0.32
185	-1.49	-1.34	-1.38	-1.42
186	-1.49	-1.34	-1.38	-1.42
187	-1.49	-1.34	-1.38	-0.72
189	-1.49	-1.34	-1.38	-0.78
190	-0.99	-1.34	-1.38	-1.42
191	0	-0.05	0.14	0.26
196	1.04	1.22	0.73	0.64
197	-0.99	-0.78	-1.38	-1.42
199	-0.73	-1.34	-0.89	-0.72
203	-0.19	0.06	0.2	0.41
204	1.35	1.17	1.53	1.68
205	-0.42	-0.48	-0.24	-0.34
207	2.24	1.71	1.87	2.1
208	1.41	1.49	1.09	1.23
210	1.25	0.77	0.52	0.85
211	0.09	0.15	0.17	0.21
212	-0.99	-0.81	-0.85	-0.68
213	-0.99	-1.34	-1.38	-1.42
214	-0.2	-0.25	0.62	0.5
215	-0.14	-0.06	-0.1	-0.09
216	-0.61	-0.78	-0.78	-0.9
217	2.3	2.01	1.33	1.62
218	2.06	1.19	0.35	0.57
219	-0.58	-0.72	-0.7	-0.64
220	0.52	0.97	0.57	0.66
221	-0.31	-0.18	-0.31	-0.19
223	0.59	0.41	0.58	0.65
224	1.03	1.07	0.67	0.6
225	-0.77	-1.34	-0.82	-0.78
226	2.17	2.08	1.82	2.08
229	-1.49	-1.34	-1.38	-1.42
230	-0.45	-0.81	-0.62	-0.42
231	2.19	2.26	1.99	2.06
238	-0.82	-1.34	-1.38	-1.42
239	-0.58	-0.72	-0.45	-0.61
240	-0.88	-1.34	-1.38	-1.42
241	-0.54	-0.67	-0.6	-0.61
242	-0.82	-0.72	-1.38	-1.42
246	-0.77	-0.81	-0.72	-0.78
247	-0.77	-0.81	-1.38	-0.9
248	-1.49	-1.34	-1.38	-1.42
249	-0.39	0.02	-0.36	-0.39
250	-1.49	-1.34	-1.38	-1.42
251	-1.49	-1.34	-1.38	-1.42
257	-1.49	-1.34	-1.38	-1.42
258	-1.49	-1.34	-1.38	-1.42
259	-1.49	-0.75	-1.38	-1.42
262	1.69	1.71	1.81	1.68
266	-0.99	-1.34	-1.38	-0.9
267	2.18	2.21	1.95	1.98
268	-0.53	-0.75	-0.48	-0.42
269	-0.53	-0.56	-0.51	-0.42
270	-0.99	-1.34	-0.82	-0.9
271	0.84	0.68	0.93	1.17
272	-0.18	-0.14	-0.43	-0.42
273	-1.49	-1.34	-1.38	-1.42
274	1.11	0.85	0.84	1.12
275	-0.32	-0.32	-0.33	-0.26
279	-0.57	-0.67	-0.68	-0.72
280	-1.49	-1.34	-0.85	-1.42
283	-0.88	-1.34	-1.38	-1.42
284	-0.65	-0.14	0.09	0.02
285	-0.51	-0.69	-0.61	-0.54
286	1.27	0.51	0.38	0.37
288	-0.09	-0.31	0.08	-0.05
290	-0.28	0.41	-0.44	-0.37
291	2.48	2.4	2.28	2.45
292	2.69	2.48	2.43	2.49
301	2.46	2.63	2.03	2
302	2.73	2.84	2.27	2.41
306	2.75	2.52	2.19	2.19
307	1.76	1.59	1.28	1.37
308	1.38	1.19	1.98	2.02
309	1.19	1.61	1.73	1.97
310	0.77	0.95	0.78	0.77
311	0.64	0.89	0.45	0.6
312	-1.49	-1.34	-1.38	-0.78
313	-0.88	-1.34	-1.38	-1.42
314	-0.13	-0.27	-0.15	-0.1
316	-0.07	-0.24	-0.11	-0.16
317	0.26	0.26	0.7	0.52
318	0.01	-0.04	-0.04	0.04
319	-0.77	-0.85	-0.61	-0.78
320	-0.7	-0.53	-0.51	-0.42
321	-1.49	-0.63	-0.75	-0.78
322	-0.1	0.12	-0.06	0.02
323	1.43	1.75	1.42	1.27
324	1.6	1.56	1.54	1.19
325	-1.49	-1.34	-1.38	-1.42
326	-0.82	-1.34	-0.75	-0.9
327	0.83	0.71	0.54	0.67
328	1.16	1.36	1.33	1.43
329	0.09	0.37	0.33	0.24
330	-0.34	-0.13	0	-0.02
331	1.42	1.65	1.42	1.19
332	1.31	0.93	1.27	1.33
333	-0.29	-0.23	-0.36	-0.36
334	2.04	2.31	2.01	1.97
335	-0.99	-1.34	-1.38	-1.42
336	-1.49	-1.34	-1.38	-1.42
337	-1.49	-1.34	-0.78	-1.42
338	-0.41	-1.34	-0.33	-0.44
339	-0.31	-0.2	-0.1	-0.16
343	-0.5	-1.34	-1.38	-0.64
344	-1.49	-1.34	-1.38	-1.42
346	-0.58	-0.6	-0.56	-0.46
347	-0.82	-0.65	-0.61	-0.64
348	-0.24	-0.4	-0.33	-0.34
350	-0.55	-0.36	-0.89	-0.68
351	2.19	2.4	2.15	2.2
353	1.03	0.65	0.91	1.19
354	-0.55	-0.57	-0.65	-0.72
355	-0.7	-0.21	-0.26	-0.38
356	-0.88	-1.34	-0.78	-0.72
357	0.43	0.01	0.19	0.12
358	0.72	0.79	0.2	0.25
359	-0.48	-0.6	-1.38	-0.64
360	0.91	0.3	-0.22	-0.17
361	-1.49	-1.34	-1.38	-1.42
362	2.57	2.01	1.68	1.98
363	-1.49	-1.34	-0.85	-1.42
364	-0.73	-0.81	-0.89	-1.42
366	-0.99	-0.65	-1.38	-0.9
367	0.04	0.06	-0.13	-0.28
368	-1.49	-1.34	-1.38	-0.78
369	1.12	1.17	0.64	0.74
372	1.88	2.14	2.18	2.05
373	0.25	0.43	0.51	0.46
374	0.43	0.18	-0.1	-0.13
375	2.46	2.5	2.28	2.41
377	1.86	2	1.72	1.79
378	1.87	2.26	2.12	2.02
379	-0.38	-0.34	-0.51	-0.57
381	1.35	1	0.92	1.17
382	2.07	1.64	1.61	1.63
383	0.35	-0.09	-0.07	-0.07
384	-0.63	-0.81	-0.58	-0.78
387	2.33	2.49	2.35	2.25
388	1.52	1.01	1.25	1.38
389	0.72	0.65	1.46	1.67
390	0.61	1.14	0.9	0.83
391	0.43	0.25	0.33	0.31
392	0.85	0.92	1.03	1.01
393	-0.4	-0.39	-0.44	-0.42
394	0.55	0.79	0.68	0.44
395	0.19	-0.34	-0.27	-0.27
396	2.62	2.51	2.49	2.63
397	-0.7	-0.55	-1.38	-1.42
398	-0.39	-0.32	-0.32	-0.31
399	-0.67	-1.34	-1.38	-0.78
400	1.48	1.65	1.62	1.51
401	-1.49	-1.34	-1.38	-1.42
402	0.78	0.54	0.47	0.56
403	0.27	0.26	0.02	0.12
405	0.57	1	0.85	0.76
406	-0.12	-0.12	-0.09	-0.09
407	-0.88	-1.34	-1.38	-1.42
408	0.09	-0.02	0.07	0.05
409	0.37	0.24	0.34	0.46
410	-0.04	0.25	0.22	0.24
411	0.89	0.85	0.9	0.8
417	-1.49	-1.34	-0.89	-0.9
419	-0.99	-1.34	-0.7	-1.42
420	-1.49	-1.34	-1.38	-0.9
421	0.14	-0.2	-0.09	0.02
427	1.34	1.58	1.23	1.16
429	-1.49	-1.34	-1.38	-1.42
430	-1.49	-1.34	-1.38	-1.42
432	-0.7	-1.34	-1.38	-0.72
433	-1.49	-1.34	-1.38	-1.42
434	-1.49	-1.34	-1.38	-1.42
435	0.34	0.18	0.08	0.14
439	1.28	1.09	1.08	1.37
440	1.43	1.36	1.29	1.26
443	0	-0.03	0.24	-0.01
444	0.66	0.92	1.13	1.05
445	-0.01	0.24	0.05	0.04
460	-0.88	-0.75	-1.38	-0.64
462	-0.42	-0.78	-0.55	-0.42
463	0.7	0.76	0.88	0.6
466	0.74	0.81	1.14	1.05
467	-0.24	-0.31	-0.34	-0.28
468	1.9	1.74	1.87	1.99
471	1.7	1.62	1.84	1.89
472	0.44	0.61	0.78	0.41
473	0.77	0.81	0.91	0.87
474	-1.49	-1.34	-1.38	-1.42
475	1.13	0.94	0.72	1.04
476	2.64	2.59	2.53	2.54
477	-0.53	-0.57	-0.85	-0.72
478	-0.55	-0.56	-0.75	-0.61
479	-1.49	-0.35	-1.38	-1.42
480	-1.49	-1.34	-1.38	-1.42
481	0.29	1.39	0.04	-0.01
482	-1.49	-1.34	-1.38	-1.42
483	1.66	1.87	1.68	1.69
487	-0.88	-0.65	-0.82	-0.78
488	2.65	2.65	2.59	2.44
489	-0.49	-0.75	-1.38	-0.9
490	1.75	1.97	1.63	1.4
491	-0.99	-1.34	-1.38	-0.78
492	-1.49	-0.46	-0.85	-0.9
493	0.49	0.75	0.98	0.77
495	-1.49	-1.34	-1.38	-1.42
496	-1.49	-1.34	-1.38	-1.42
498	2.9	2.7	2.62	2.67
501	1.04	0.87	0.75	0.87
506	2.97	2.89	2.99	3.01
509	1.62	1.64	1.73	1.7
513	1.41	0.89	1.06	1.33
515	1.74	1.75	1.79	1.8
516	1.25	0.99	0.94	1.26
517	0.86	0.25	0.29	1.04
518	1.84	1.61	1.81	1.88
522	1.3	1.21	1.27	1.27
523	1.26	1.47	1.25	1.11
525	-0.77	-0.54	-0.65	-0.45
526	1.56	1.37	1.09	1.18
527	1.61	1.67	1.36	1.62
528	0.97	0.97	0.98	0.93
529	1.17	1.28	0.91	0.99
533	1.13	1	0.65	0.75
534	-0.34	-0.39	-0.47	-0.38
535	0.46	0.58	0.17	0.08
537	1.82	2.03	1.7	1.63
538	0.22	0.3	0.19	-0.04
539	1.45	1.34	1.37	1.5
540	-0.6	-0.78	-0.56	-0.78
545	0.76	0.67	0.88	0.61
546	1.8	2.02	1.89	1.63
547	-1.49	-0.69	-0.59	-0.61
549	-0.03	-0.04	0.05	0.04
550	1.46	0.99	1.13	1.38
551	-1.49	-1.34	-1.38	-1.42
552	-1.49	-1.34	-1.38	-1.42
553	-0.99	-1.34	-1.38	-1.42
554	-1.49	-1.34	-1.38	-0.78
558	2.63	2.69	2.54	2.51
563	-1.49	-1.34	-1.38	-1.42
567	1.53	2.1	2.06	2.06
570	-0.77	-1.34	-1.38	-0.78
571	0.4	0.7	0.78	0.67
572	0.43	0.31	0.18	0.33
573	1.42	1.35	1.29	1.35
575	-0.82	-0.69	-0.75	-1.42
576	-0.35	-0.44	-0.39	-0.36
577	-0.45	-0.37	-0.55	-0.42
578	1.05	0.72	1.15	1.4
579	-0.65	-0.81	-0.72	-0.48
580	0.69	0.23	0.53	0.42
581	0.62	0.52	0.5	0.73
582	-0.25	-0.27	-0.1	-0.23
583	-0.09	-0.12	-0.14	-0.13
585	-0.24	-0.19	-0.17	-0.22
586	0.63	0.26	0.96	0.98
587	-0.15	-0.26	-0.24	-0.11
590	-0.61	-0.59	-0.51	-0.72
593	0.19	0.25	0.02	0.15
594	0.15	0.03	0.25	0.25
595	3.22	2.75	2.45	2.51
596	0.39	0.16	0.37	0.29
597	-1.49	-0.6	-1.38	-0.9
598	0.9	0.81	0.72	0.9
599	0.51	0.58	0.42	0.53
602	-0.06	0.09	-0.01	0.08
604	0.15	0.3	0.2	0.19
605	0.68	0.21	0.25	0.34
607	0.39	0.34	0.57	0.44
608	-1.49	-1.34	-1.38	-1.42
610	-0.09	-0.22	-0.24	-0.21
611	-0.65	-1.34	-0.75	-0.78
613	1.11	0.97	0.87	0.88
617	0.09	0.07	0.07	0.07
622	-0.43	-0.67	-0.78	-0.46
623	-0.57	-0.6	-0.51	-0.59
624	-0.05	-0.24	-0.57	-0.52
627	-0.18	0.55	0.23	0.3
629	-0.33	-0.38	-0.19	-0.29
631	-0.6	-0.67	-0.68	-0.61
632	-0.5	-0.44	-0.6	-0.54
633	-0.36	0.58	-0.18	-0.17
634	-0.33	0.05	-0.14	-0.26
635	-0.7	-0.81	-1.38	-0.78
636	-0.02	-0.08	-0.09	-0.14
637	0.96	0.6	0.84	0.86
638	-0.5	-0.56	-0.89	-0.72
639	-0.55	-0.35	-0.3	-0.28
640	-0.7	-0.33	-1.38	-0.9
641	0.33	0.24	0.47	0.23
642	1.27	1.25	1.27	1.24
643	-1.49	-1.34	-1.38	-1.42
644	0.2	0.29	0.2	0.2
645	-0.29	-0.23	-0.36	-0.29
646	0.72	0.23	0.31	0.28
649	1.45	1.57	2.43	2.53
650	-0.38	-0.2	-0.46	-0.57
651	-0.82	-1.34	-1.38	-0.72
652	-0.06	0.45	-0.34	-0.28
653	-0.88	-1.34	-1.38	-0.9
654	-0.54	-0.51	-0.58	-0.57
655	0.48	-0.37	-0.34	-0.37
657	1.34	1.82	1.6	1.35
658	-0.22	-0.56	-0.41	-0.44
659	1.13	1.51	1.62	1.26
660	-1.49	-1.34	-1.38	-1.42
661	0.42	0.27	0.46	0.59
662	0.02	-0.25	-0.01	-0.02
663	1.47	1.84	1.66	1.62
664	-0.31	-0.06	-0.28	-0.34
665	1.08	1.57	1.23	1.16
666	0.32	-0.06	0.08	0.16
668	-1.49	-1.34	-1.38	-1.42
669	0.29	0.22	0.45	0.39
670	0	0.07	-0.09	-0.09
671	-1.49	-1.34	-1.38	-1.42
672	0.89	0.89	1.07	0.83
673	0.48	0.48	0.73	0.42
675	0.46	0.43	0.55	0.29
676	-0.5	-0.35	-0.51	-0.59
677	1.79	1.48	1.4	1.43
678	2.12	2.09	2.06	2.03
680	-1.49	-1.34	-1.38	-1.42
682	2.01	1.96	1.98	2.1
683	-0.61	-0.81	-0.72	-0.9
685	0.14	-0.07	-0.18	-0.35
686	-0.12	0	-0.05	-0.08
687	0.35	0.4	0.68	0.71
688	0.65	0.49	0.08	0.04
689	2.19	2.28	2.37	2.37
694	1.45	1.76	1.2	1.15
695	-1.49	-1.34	-0.66	-1.42
696	0.93	0.32	0.12	0.05
699	0.9	0.89	1.4	1.28
701	1.18	1.19	1.62	1.67
705	0.79	0.57	0.84	0.99
706	1.35	0.85	0.83	1.08
708	1.89	1.82	1.78	1.85
710	-0.46	-1.34	-0.65	-0.49
712	-1.49	-1.34	-1.38	-1.42
713	-1.49	-1.34	-1.38	-1.42
714	-1.49	-1.34	-1.38	-1.42
715	-0.17	-0.07	-0.25	-0.22
716	-0.33	-0.07	-0.46	-0.51
717	-0.63	-0.67	-0.59	-0.72
718	0.17	0.65	-0.27	-0.28
719	-1.49	-0.81	-0.65	-0.78
721	-0.27	-0.29	-0.29	-0.28
726	0.37	0	-0.11	-0.05
727	-1.49	-1.34	-1.38	-0.9
728	-1.49	-1.34	-1.38	-1.42
729	-0.77	-1.34	-1.38	-1.42
730	-1.49	-1.34	-1.38	-1.42
731	-1.49	-0.67	-1.38	-1.42
732	-1.49	-1.34	-1.38	-1.42
733	-0.34	-0.53	-0.45	-0.35
734	-0.02	0.14	0.08	0.05
735	-1.49	-1.34	-1.38	-0.9
738	0.5	0.44	0.25	0.38
740	0.88	0.84	0.79	0.83
741	0.15	0.03	-0.04	0.08
744	-1.49	-0.56	-0.78	-1.42
745	-0.24	-0.19	-0.61	-0.49
746	0.79	0.7	0.74	0.8
747	0.34	-0.21	0.07	0.11
753	0.49	0.54	0.28	0.26
754	2.14	1.75	1.64	1.71
755	0.04	-0.05	0.02	0.12
757	0.21	0.54	0.31	0.27
758	-1.49	-1.34	-1.38	-1.42
759	-1.49	-1.34	-1.38	-1.42
760	-0.01	-0.44	-0.45	-0.42
761	-1.49	-1.34	-1.38	-1.42
762	-1.49	-1.34	-1.38	-1.42
763	-1.49	-1.34	-1.38	-1.42
765	-1.49	-1.34	-1.38	-1.42
766	-0.5	-0.61	-0.68	-0.78
767	-1.49	-1.34	-1.38	-0.9
768	-0.39	-0.63	-0.54	-0.42
770	-0.65	-0.81	-0.7	-0.61
771	0.51	0.52	1.02	0.89
773	-0.17	-0.31	-0.29	-0.24
774	-0.88	-1.34	-0.75	-0.9
775	-0.35	0.04	0.7	0.59
776	-0.88	-0.52	-1.38	-0.72
777	-0.63	-0.85	-0.66	-0.68
778	-1.49	-1.34	-1.38	-1.42
779	-1.49	-1.34	-0.89	-1.42
780	0.83	1.05	0.67	0.86
781	-0.37	-1.34	0.48	0.35
782	-0.4	-0.37	-0.39	-0.31
783	-0.47	-1.34	-0.39	-0.43
784	0.47	0.24	0.45	0.69
785	-0.4	-0.45	-0.33	-0.38
786	-1.49	-1.34	-1.38	-1.42
788	0.06	0.14	0.11	-0.01
790	1.64	1.25	1.68	1.8
793	-0.99	-1.34	-0.78	-0.9
794	-1.49	-1.34	-1.38	-1.42
795	-0.65	-0.72	-0.89	-0.9
797	-0.88	-0.78	-0.78	-0.9
799	-1.49	-1.34	-1.38	-1.42
810	-1.49	-1.34	-0.7	-1.42
811	2.46	2.82	2.61	2.66
813	2.51	2.81	2.82	2.71
814	-0.35	-0.38	-0.21	-0.25
815	-0.5	-0.85	-0.55	-0.9
816	-0.6	-0.55	-0.89	-0.9
817	0.47	0.85	0.6	0.57
818	0.36	0.61	0.6	0.59
819	0.04	0.09	0.22	0.23
820	-1.49	-1.34	-0.65	-0.78
821	2.71	2.96	2.81	2.75
822	2.13	1.39	1.09	1.42
823	0.89	0.66	0.6	0.8
824	1.46	1.64	1.54	1.48
825	-0.88	-0.65	-1.38	-0.9
826	1.76	1.62	1.38	1.5
827	-0.43	-0.27	-0.21	-0.38
829	1.13	1.31	1.44	1.29
830	2.01	2.02	1.98	1.84
831	1.38	1.35	1.2	1.08
832	1.65	1.64	1.8	1.91
833	1.21	1.09	0.91	1.01
834	0.21	0.87	0.43	0.28
835	0.59	0.91	0.8	0.62
836	2.11	1.72	1.83	1.78
837	-0.45	-0.17	-0.32	-0.32
839	0.08	0.13	0.23	0.21
840	-0.09	-0.08	0.05	0.05
841	0.85	0.73	0.96	0.85
842	-0.02	-0.11	-0.04	0.01
844	-1.49	-1.34	-1.38	-1.42
845	-0.27	-0.38	-0.51	-0.59
846	-1.49	-1.34	-1.38	-1.42
847	0.82	1.11	0.84	0.88
857	1.37	1.42	1.23	1.14
858	1.02	0.86	0.74	0.61
859	-1.49	-1.34	-1.38	-1.42
860	0.75	0.87	1.12	0.98
861	1.15	1.43	1.44	1.36
862	-0.82	-0.72	-0.3	-0.41
863	-0.34	-0.72	0.08	0.1
864	1.07	0.56	0.88	1.11
865	1.91	1.9	1.8	1.69
866	-1.49	-1.34	-1.38	-1.42
867	0.9	0.96	1.39	1.08
868	0.19	0.57	0.38	0.32
869	-0.43	-0.72	-0.23	-0.32
871	1.66	2.21	2.23	2.46
873	-0.09	-0.03	0	0.12
874	-0.36	-0.15	-0.18	-0.12
875	-0.6	-0.67	-1.38	-0.64
881	-1.49	-1.34	-1.38	-1.42
885	-0.29	-0.75	-0.89	-0.9
886	-0.99	-0.69	-1.38	-0.78
887	-1.49	-1.34	-1.38	-1.42
889	1.1	1.19	1.05	0.91
890	1.77	1.64	1.96	1.92
891	1.52	1.48	1.95	1.85
892	0.27	0.37	0.4	0.24
894	2.13	1.63	1.97	1.92
896	0.62	0.5	0.82	0.93
898	0.59	0.28	0.4	0.42
899	0.73	0.42	0.76	0.98
900	1.2	1.3	0.99	0.85
901	0.58	0.76	0.61	0.51
902	0.2	0.25	0.35	0.28
904	0.7	0.95	1.14	0.9
905	0.54	0.91	0.8	0.67
912	-0.21	-0.18	-0.2	-0.17
914	-1.49	-1.34	-1.38	-1.42
915	-0.99	-1.34	-0.72	-1.42
916	-1.49	-1.34	-1.38	-1.42
917	-1.49	-1.34	-1.38	-1.42
919	-1.49	-1.34	-1.38	-0.46
920	-1.49	-0.78	-0.82	-1.42
921	-0.99	-1.34	-1.38	-0.9
922	-1.49	-1.34	-1.38	-1.42
923	-1.49	-1.34	-0.89	-0.9
924	-0.73	-0.78	-1.38	-1.42
925	-0.65	-0.61	-0.68	-0.72
926	-1.49	-1.34	-1.38	-1.42
928	2.39	2.14	1.87	1.97
929	0.19	0.01	-0.03	0.08
930	-1.49	-1.34	-1.38	-1.42
931	-0.99	-1.34	-1.38	-0.9
932	-1.49	-1.34	-1.38	-1.42
933	-0.73	-0.85	-0.89	-0.78
939	-0.7	-0.57	-0.78	-0.78
940	-1.49	-1.34	-1.38	-0.9
941	-0.99	-1.34	-1.38	-1.42
942	-0.99	-1.34	-0.82	-0.78
943	-0.99	-1.34	-1.38	-0.68
944	-0.99	-1.34	-1.38	-1.42
947	0.23	0.77	0.24	0.23
948	-1.49	-1.34	-1.38	-1.42
949	1.28	1.21	1.13	1.22
950	1.14	1.39	0.88	0.77
951	-0.61	-0.81	-0.68	-0.57
952	-0.48	-0.65	-0.49	-0.59
953	-0.65	-0.81	-0.62	-0.68
954	-0.39	-0.53	-0.41	-0.46
955	0.11	-0.03	0.32	0.38
956	0.27	0.05	-0.17	-0.18
957	0.24	-0.02	-0.07	-0.08
958	-0.58	-0.63	-0.53	-0.68
959	-1.49	-1.34	-1.38	-1.42
960	2.2	2.44	2.22	2.12
961	1.12	1.52	1.03	0.86
962	-1.49	-1.34	-1.38	-1.42
963	-0.88	-0.54	-0.57	-0.68
966	0.46	0.1	0.55	0.44
967	2.27	2.55	2.46	2.51
968	-0.54	-0.47	-0.43	-0.42
969	-0.77	-0.69	-0.6	-0.9
970	-1.49	-1.34	-1.38	-1.42
971	-0.6	-0.45	-0.51	-0.5
972	-0.67	-1.34	-0.66	-0.54
973	-0.73	-0.65	-1.38	-0.9
974	-1.49	-1.34	-1.38	-1.42
975	1.46	1.58	0.99	1.12
976	0.97	0.4	1.05	1.19
977	1.5	1.48	1.12	1.33
978	-0.18	-0.33	-0.25	-0.11
983	1.49	1.29	1.68	1.7
987	0.44	0.41	0.29	0.07
988	1.13	1.24	1.38	1.27
989	1.83	2.04	2.04	1.92
990	0.71	0.55	0.75	0.75
991	1.29	1.05	1.51	1.69
993	0.62	0.51	0.87	0.83
994	1.25	0.86	1.07	1.19
995	0.32	0.23	0.41	0.34
996	1.48	1.54	1.53	1.41
997	1.12	0.67	0.9	1.14
999	2.11	1.84	1.34	1.27
1000	1.19	-0.03	1.75	1.7
1001	-0.04	-0.01	-0.31	-0.29
1002	-1.49	-1.34	-0.85	-1.42
1003	-1.49	-1.34	-1.38	-1.42
1004	-1.49	-1.34	-1.38	-1.42
1005	-1.49	-1.34	-1.38	-1.42
1006	-1.49	-1.34	-1.38	-1.42
1007	-1.49	-1.34	-1.38	-1.42
1008	-0.99	-1.34	-0.03	-0.07
1009	-0.67	-0.85	-0.7	-0.57
1010	-1.49	-1.34	-1.38	-1.42
1012	0.76	0.42	0.25	0.26
1013	1.05	1.48	1	1.28
1014	-1.49	-1.34	-1.38	-1.42
1015	-0.82	-0.85	-0.78	-0.78
1016	-1.49	-1.34	-1.38	-1.42
1017	0.72	0.84	0.91	0.9
1019	1.98	1.91	2.12	2.22
1020	0.67	0.54	0.29	0.42
1021	1.89	2.06	1.59	1.3
1022	0.6	0.95	1.1	1
1024	1.37	1.1	1.23	1.14
1025	0.99	0.92	1.03	1.21
1026	0.07	-0.01	-0.21	-0.19
1027	0.98	1.17	0.85	0.88
1029	1.61	1.81	0.87	1.17
1030	0.61	0.88	0.43	0.41
1031	1.01	0.79	0.51	0.52
1032	0.05	-0.12	-0.06	0.03
1033	-0.12	-0.15	-0.14	-0.17
1036	-0.54	-0.56	-0.41	-0.5
1039	0.41	0.29	0.62	0.65
1040	-0.23	-0.2	-0.53	-0.51
1044	-0.67	-0.65	-0.82	-0.72
1045	-1.49	-0.85	-1.38	-1.42
1046	-1.49	-1.34	-1.38	-1.42
1047	-1.49	-1.34	-1.38	-0.9
1050	0.06	-0.09	-0.19	-0.17
1051	0.76	1.03	0.91	1.05
