gene	GSM2157516	GSM2157515	GSM2157514	GSM2157513
8242	1.59	1.55	1.53	1.49
8243	1.99	1.94	1.93	1.86
8260	0.94	0.56	0.61	0.8
8266	0.62	0.63	0.48	0.54
8273	0.33	0.37	0.17	0.16
8277	-0.82	-1.34	-0.82	-0.9
8284	-0.28	-0.33	-0.27	-0.28
8287	-1.49	-1.34	-1.38	-1.42
8288	-1.49	-1.34	-1.38	-1.42
8289	0.7	0.6	1	0.93
8291	-0.41	0.05	0.17	0.18
8294	-0.77	-0.72	-1.38	-1.42
8295	1.51	1.42	1.51	1.32
8301	1.55	1.7	1.67	1.54
8303	0.87	0.72	0.84	0.82
8309	-0.29	-0.21	-0.34	-0.36
8310	0.25	0.47	0.19	0.14
8312	1.1	1.05	1.13	1.28
8313	0.16	0.32	-0.27	-0.3
8314	1.2	1.37	1.22	1.36
8315	1.31	1.29	1.02	1.1
8317	0.6	0.4	0.5	0.45
8318	0.77	0.63	0.91	0.92
8320	0.1	-0.31	-0.26	-0.28
8321	0.23	1.03	0.6	0.55
8322	-0.28	-0.16	-0.06	-0.15
8323	0.98	1.03	0.69	0.61
8324	0.5	0.6	0.9	0.9
8325	-0.07	-0.09	-0.07	-0.01
8326	-0.34	-0.47	-0.46	-0.38
8328	-0.99	-0.75	-1.38	-1.42
8330	-0.77	-1.34	-0.75	-0.44
8331	-0.63	-1.34	-0.59	-0.61
8332	-0.54	-1.34	-0.48	-0.48
8334	-0.61	-1.34	-1.38	-0.54
8335	-0.46	-1.34	-0.78	-1.42
8336	-0.7	-0.45	-0.58	-1.42
8338	-0.77	-0.63	-0.89	-1.42
8339	-0.77	-1.34	-0.85	-1.42
8340	-0.77	-1.34	-1.38	-1.42
8341	-0.65	-1.34	-1.38	-0.78
8342	-0.73	-1.34	-0.72	-1.42
8343	-0.44	-0.35	-0.3	-0.36
8344	-0.73	-1.34	-0.72	-1.42
8345	-0.43	-0.55	-0.46	-0.5
8346	-0.14	0.15	0.2	0.3
8347	-0.65	-0.43	-0.47	-0.59
8348	-0.67	-0.69	-0.78	-0.9
8350	-0.77	-1.34	-0.5	-0.51
8351	-0.61	-1.34	-1.38	-0.72
8352	-0.38	-0.36	-0.3	-0.43
8353	-0.63	-1.34	-0.82	-1.42
8354	-0.65	-0.63	-0.47	-0.64
8355	-0.53	-0.48	-0.54	-0.52
8356	-0.63	-1.34	-0.61	-0.47
8357	-0.49	-0.52	-0.53	-0.55
8358	-0.47	-1.34	-0.7	-0.44
8359	-0.63	-0.72	-0.85	-0.9
8360	-0.54	-1.34	-1.38	-1.42
8361	-0.7	-1.34	-0.85	-0.78
8362	-0.7	-0.69	-0.47	-0.59
8363	-0.88	-1.34	-0.68	-0.61
8364	-0.88	-0.78	-0.68	-0.78
8365	-0.65	-0.57	-0.47	-0.59
8366	-0.4	-0.37	-0.41	-0.4
8368	-1.49	-0.78	-0.58	-0.57
8370	-0.65	-1.34	-1.38	-0.78
8372	-0.77	-0.81	-0.72	-0.61
8379	0.94	0.72	0.72	0.99
8382	-0.67	-0.72	-0.51	-0.59
8383	-1.49	-1.34	-1.38	-1.42
8388	-1.49	-1.34	-1.38	-1.42
8392	-1.49	-1.34	-1.38	-1.42
8394	1.28	1.1	1.1	1.13
8395	-0.44	-0.51	-0.49	-0.45
8396	1.11	1.01	1.13	1.19
8398	0.05	-0.15	0.04	0.12
8399	-1.49	-1.34	-1.38	-1.42
8402	1.07	1.05	0.77	0.82
8403	-1.49	-1.34	-1.38	-1.42
8404	-0.38	-0.52	-0.04	-0.09
8405	1.38	1.52	1.41	1.46
8406	-0.65	-0.81	-0.72	-0.9
8407	1.8	1.59	2.16	2.34
8408	0.93	0.99	0.78	0.86
8409	0.11	-0.03	-0.06	-0.09
8411	1.13	1.36	1.08	0.81
8412	0.39	0.42	0.12	0.15
8416	-0.24	-0.31	-0.3	-0.4
8417	0.62	0.66	0.78	0.65
8419	-0.99	-1.34	-1.38	-0.9
8424	-1.49	-0.48	-1.38	-0.78
8425	0.26	0.46	0.22	0.36
8427	-0.14	-0.12	-0.03	0.02
8428	1.08	1.23	1.17	1.15
8431	-1.49	-1.34	-1.38	-1.42
8433	-1.49	-1.34	-1.38	-1.42
8434	-0.44	-0.23	-0.58	-0.51
8435	-0.77	-0.69	-0.7	-0.72
8437	-0.67	-0.44	-0.63	-0.59
8438	0.43	0.33	0.46	0.4
8439	0.59	0.54	0.6	0.47
8440	0.45	0.5	0.57	0.64
8443	1.35	1.36	1.19	1.23
8444	0.04	-0.25	-0.02	0.12
8445	0.04	-0.08	0.14	0.1
8446	1.33	1.38	1.45	1.19
8447	-0.67	-1.34	-0.61	-0.4
8448	-1.49	-1.34	-0.68	-1.42
8449	0.72	0.51	0.74	0.87
8450	1.33	1.46	1.46	1.21
8451	1.8	1.82	1.66	1.64
8452	1.46	1.63	1.72	1.57
8453	1.12	1.06	1.05	0.88
8454	1.73	1.68	1.77	1.65
8455	0.71	1	0.96	0.78
8456	-0.35	-0.55	-0.54	-0.51
8458	0.53	0.39	0.6	0.51
8459	1.24	1.31	0.81	0.98
8460	0.57	0.74	0.56	0.55
8462	-0.13	-0.21	-0.1	-0.11
8463	0.87	0.57	1.16	1.35
8464	-0.02	-0.09	0.13	0.09
8467	2.25	2.38	2.32	2.14
8468	-1.49	-1.34	-1.38	-1.42
8470	0.88	1.48	0.67	0.53
8473	1.73	1.95	1.78	1.53
8476	1.35	1.31	1.7	1.47
8477	-1.49	-1.34	-1.38	-1.42
8479	0.7	0.56	0.53	0.74
8480	0.98	0.66	1.15	1.18
8481	0.63	0.7	0.54	0.44
8482	0.44	0.56	0.68	0.8
8483	-0.82	-0.36	-0.66	-1.42
8487	0.11	-0.08	0.17	0.09
8490	-0.82	-1.34	-1.38	-1.42
8491	0.41	0.35	0.73	0.57
8492	-0.32	-0.14	-0.66	-0.38
8493	0.2	0.36	0.3	0.2
8495	-0.13	-0.4	-0.46	-0.44
8496	1.77	2.22	1.92	1.76
8498	1.1	0.98	1.14	1.4
8499	-1.49	-1.34	-0.72	-1.42
8500	1.21	1.1	0.91	0.95
8501	-0.77	-0.57	-0.29	-0.26
8502	1.28	1.23	1.38	1.35
8503	0.2	0.74	0.61	0.41
8504	0.31	0.41	0.17	0.11
8505	0.72	0.95	0.97	0.74
8506	-0.25	-0.26	-0.19	-0.24
8507	1.14	1.26	1.05	0.92
8508	0.6	0.12	0.23	0.23
8509	0.04	0.21	0.16	0.25
8510	-0.67	-0.61	-0.82	-0.61
8513	-1.49	-1.34	-1.38	-1.42
8514	-0.43	-0.35	-0.4	-0.46
8515	-0.43	-0.24	-0.42	-0.47
8516	-0.99	-1.34	-0.82	-0.64
8517	0.98	1.12	0.77	0.59
8520	1.06	1	1.33	1.17
8521	-1.49	-1.34	-1.38	-1.42
8522	0.24	1.25	-0.24	-0.2
8525	1.12	0.67	1.01	1.2
8526	0.31	0.26	0.29	0.12
8527	1.07	0.83	1.05	1.06
8528	-0.77	-1.34	-1.38	-1.42
8529	-0.82	-1.34	-0.75	-0.9
8530	-1.49	-1.34	-1.38	-1.42
8531	2.3	1.84	2.05	2.23
8532	-1.49	-1.34	-1.38	-1.42
8533	1.23	1.37	1.22	1.15
8534	-0.22	-0.03	-0.47	-0.42
8535	0.49	0.18	0.05	0.08
8536	0.43	0.32	0.42	0.48
8537	-1.49	-1.34	-1.38	-1.42
8538	-0.45	0	-0.09	-0.08
8539	1.78	1.98	2.06	1.96
8540	1.4	1.54	1.61	1.4
8541	-0.31	-0.52	-0.47	-0.46
8543	0.33	0.4	0.52	0.55
8544	-0.18	-0.23	-0.4	-0.25
8545	1.33	1.57	1.59	1.43
8546	0.94	1.03	1.18	1.12
8548	0.1	0.22	0.19	0.21
8549	-0.4	-0.47	-0.53	-0.51
8550	1.12	0.73	0.78	0.84
8553	1.64	1.16	1.27	1.34
8554	0.29	0.5	0.48	0.29
8555	0.41	0.23	0.56	0.36
8556	-0.04	-0.13	0	-0.03
8557	-0.82	-1.34	-1.38	-0.64
8558	0.33	-0.01	0	0.1
8559	0.63	0.83	0.81	0.74
8560	1.28	1.51	1.46	1.44
8562	1.52	1.35	1.64	1.58
8563	0.69	0.69	0.56	0.6
8564	-0.7	-1.34	-0.7	-0.61
8565	1.22	1.18	1.32	1.42
8566	0.49	0.72	0.5	0.53
8567	0.15	0.08	0.06	0.12
8569	0.15	0.28	0.06	0.16
8570	1.82	1.62	1.87	2.02
8572	-0.26	0.08	-0.13	-0.1
8573	1.15	1.3	1.13	0.95
8574	0.17	0.01	-0.04	0.04
8575	0.1	0.29	0.25	0.22
8576	0.56	0.45	0.59	0.69
8577	-0.23	-0.06	0.03	-0.08
8578	-0.54	-0.59	-0.57	-0.51
8581	-0.57	-0.57	-0.68	-0.72
8590	-1.49	-1.34	-1.38	-1.42
8600	-0.99	-0.72	-0.39	-0.39
8601	-0.57	-0.33	-0.31	-0.36
8602	1.31	1.23	1.33	1.34
8603	0.75	0.8	0.69	0.66
8604	0.34	0.44	0.42	0.39
8605	-0.43	-0.52	-0.37	-0.45
8607	1.29	0.97	1.36	1.45
8608	-0.39	-0.38	-0.33	-0.37
8609	0.65	0.72	0.88	0.63
8612	1.02	0.64	0.7	0.89
8613	0.5	0.9	0.73	0.71
8614	-0.1	-0.04	-0.35	-0.33
8615	1.87	1.98	1.54	1.42
8618	-1.49	-1.34	-1.38	-1.42
8620	-0.7	-0.85	-0.68	-0.64
8621	0.91	1.06	1.14	1.07
8622	-0.7	-0.6	-0.51	-0.49
8624	0.33	0.28	0.55	0.46
8625	0.01	-0.04	-0.03	0.06
8626	0.15	-0.25	-0.46	-0.39
8629	-0.07	-0.04	-0.1	-0.1
8630	-1.49	-1.34	-1.38	-1.42
8631	-0.53	-0.54	-0.37	-0.48
8632	-0.35	-0.41	-0.32	-0.33
8633	-0.7	-0.41	-0.39	-0.44
8634	0.36	0.22	0.43	0.46
8635	0.58	0.7	0.55	0.67
8636	0.4	0.27	0.4	0.49
8637	-0.27	-0.5	-0.33	-0.3
8638	-0.28	-0.27	-0.13	-0.1
8639	-0.58	-0.52	-0.49	-0.48
8641	-0.57	-0.72	-0.56	-0.49
8642	-1.49	-0.38	-0.89	-0.64
8643	-0.58	-0.81	-0.68	-0.72
8644	-0.18	-0.11	-0.45	-0.46
8645	-0.01	-0.4	0.09	0.05
8646	-0.27	-0.33	-0.78	-0.54
8647	-0.99	-1.34	-1.38	-1.42
8648	0.31	0.16	0.05	-0.14
8649	0.24	0.32	0.18	0.29
8650	0.6	0.4	0.41	0.35
8651	-0.26	-0.3	-0.24	-0.2
8653	-1.49	-1.34	-1.38	-0.78
8654	-0.37	-0.18	-0.23	-0.3
8655	1.62	1.54	1.52	1.59
8658	1.11	1.53	1.25	1.14
8659	-0.24	-0.23	-0.27	-0.25
8660	0.18	0.12	0.67	0.66
8661	2.59	2.72	2.71	2.56
8662	2.64	2.47	2.49	2.52
8663	2.25	2.35	2.1	2.1
8664	1.49	1.33	1.63	1.79
8665	1.47	1.49	1.22	1.36
8666	1.27	1.11	1.28	1.52
8667	1.86	1.91	1.86	1.94
8668	1.37	1.19	1.3	1.53
8669	1.32	1.51	1.75	1.66
8671	0.97	0.45	0.59	0.5
8672	1.17	0.9	0.97	0.99
8673	1.13	0.55	0.58	0.72
8674	0.19	0.21	0.36	0.2
8675	0.78	0.68	0.95	0.88
8676	-0.34	-0.36	-0.49	-0.39
8678	1.48	1.5	1.27	1.24
8682	1.06	0.91	0.96	1
8683	1.47	1.24	1.22	1.39
8685	-1.49	-1.34	-1.38	-1.42
8689	-0.99	-1.34	-1.38	-1.42
8690	0.06	0.07	0.06	0.02
8692	0.38	0.31	0.43	0.68
8693	0.22	0.62	0.42	0.34
8694	-0.1	-0.16	-0.06	-0.11
8697	1.27	1.2	1.25	1.21
8698	-0.73	-1.34	-0.89	-0.9
8701	-1.49	-0.78	-0.82	-1.42
8702	-0.24	-0.13	-0.18	-0.23
8703	0.37	0.11	0.25	0.42
8704	0.45	0.37	0.39	0.61
8705	-0.48	-0.63	-0.52	-0.46
8706	-0.51	-0.28	-0.2	-0.2
8707	-1.49	-1.34	-1.38	-0.9
8708	-0.73	-0.67	-0.57	-0.47
8710	-0.43	-0.23	-1.38	-1.42
8711	-0.31	-0.59	-0.51	-0.42
8714	-0.57	-0.78	-0.65	-0.52
8715	-0.65	-0.85	-0.53	-0.42
8717	0.3	0.15	0.14	0.12
8718	-0.44	-0.3	-0.63	-0.44
8720	1.87	2.01	1.75	1.83
8721	1.19	0.94	0.86	1.27
8722	-0.17	0.03	-0.24	-0.21
8723	0.81	0.97	1.1	0.96
8724	1.28	1.28	1.24	1.27
8725	0.89	0.95	0.78	0.78
8726	0.59	0.53	0.69	0.65
8727	0.33	0.19	0.28	0.14
8728	-0.5	-0.09	-0.16	-0.13
8729	0.9	1.11	0.87	0.69
8731	1.16	1.15	1.29	1.1
8732	0.29	0.4	0.3	0.31
8733	0.26	0.08	0.27	0.36
8735	-0.67	-0.61	-1.38	-1.42
8736	-0.54	-0.57	-0.44	-0.51
8737	0.64	0.65	0.81	0.74
8738	-0.28	-0.28	-0.3	-0.22
8740	-1.49	-1.34	-1.38	-1.42
8741	-0.42	-0.4	-1.38	-0.72
8742	-0.7	-0.5	-0.24	-0.25
8743	-0.73	-0.2	-0.85	-0.72
