gene	GSM2687426	GSM2687427	GSM2687428	GSM2687429	GSM2687430	GSM2687431
142891	0.52	0.54	0.63	0.51	0.72	0.75
142940	0.02	-0.03	-0.06	0.29	0.08	0.12
143098	0.36	0.24	0.4	0.25	0.63	0.47
143187	0.46	0.46	0.47	0.37	0.48	0.54
143241	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
143279	-0.16	-0.2	-0.15	-0.17	-0.31	-0.38
143282	-0.42	-0.38	-0.46	-0.36	-0.09	-0.37
143379	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
143384	1.17	1.21	1.37	1.3	1.24	1.49
143425	-0.7	-0.64	-0.52	-1.12	-0.98	-0.77
143458	-0.17	-0.11	-0.22	0.4	-0.36	-0.34
143471	-1.63	-1.52	-0.98	-1.59	-1.46	-1.49
143496	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
143502	-1.63	-0.82	-1.51	-1.59	-1.46	-1.49
143503	-1.18	-1	-1.07	-1.59	-1.46	-1.49
143570	-0.68	-0.76	-0.65	-0.77	-0.71	-0.48
143630	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
143662	0.48	0.68	0.32	-0.26	-0.52	-0.33
143678	-0.74	-1.04	-0.76	-0.75	-0.55	-0.61
143684	0.63	0.59	0.57	0.59	0.44	0.34
143686	1.23	1.13	1.97	0.41	0.22	-0.01
143689	-0.56	-0.61	-0.5	-0.56	-0.98	-1.49
143872	1.08	1.18	1.55	0.41	0.21	0.13
143879	-0.36	-0.48	-0.37	-0.35	-0.33	-0.38
143884	0.17	0.1	0.33	0.33	0.32	0.09
143888	0.26	0.21	0.42	0.55	0.4	0.36
143903	-0.19	-0.22	-0.2	-0.19	-1.46	-0.56
143941	-1.08	-1.52	-1.07	-0.64	-0.45	-0.36
144100	0.98	0.93	0.89	1.14	0.91	0.58
144108	1.18	1.22	1.34	0.51	0.77	0.76
144110	0.49	0.91	0.7	-0.19	0.26	0.4
144124	-1.63	-1.52	-1.51	-1.02	-1.46	-1.49
144125	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
144132	-0.61	-0.59	-0.53	-0.6	-0.56	-0.52
144165	0.24	0.21	1.18	0.17	0.4	1.04
144193	-1.01	-1.52	-1.51	-1.12	-1.46	-1.49
144233	-0.32	-0.25	-0.37	-0.3	-0.2	-0.19
144321	-1.63	-1.52	-1.51	-1.59	-0.98	-1.49
144348	1.42	1.44	1.53	1.72	1.64	1.02
144402	1.08	0.89	1.47	1.11	1.18	0.86
144404	-0.34	-0.45	-0.4	-0.3	-0.22	-0.17
144406	-0.6	-0.58	-0.6	-0.45	-0.42	-0.49
144423	-0.45	-0.5	-0.6	0.08	-0.16	-0.16
144453	-0.81	-0.92	-0.84	-1.12	-0.91	-0.85
144455	0.05	-0.01	-0.26	0.51	0.4	0.26
144501	0.89	1.09	0.4	0.93	0.63	0.32
144535	-0.55	-0.58	-0.51	-0.44	-0.5	-0.64
144577	0.08	0.07	-0.03	0.17	0.19	0.24
144608	-0.72	-0.8	-0.93	-0.53	-0.43	-0.41
144699	0.48	0.57	0.27	0.77	0.63	0.44
144715	-0.53	-0.57	-0.49	-0.38	-0.28	-0.34
144809	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
144811	-0.18	-0.26	-0.22	-0.22	0.19	-0.13
145173	0.19	0.11	0.14	0.3	0.03	0.11
145226	-0.56	-0.57	-0.52	-0.43	-0.5	-0.62
145258	-1.63	-1.52	-1.51	-1.12	-0.98	-1.49
145264	-1.63	-1.52	-1.51	-1.59	-0.98	-0.92
145270	-1.18	-1	-1.51	-1.59	-1.46	-1.49
145282	0.01	-0.09	0.1	0.2	0.34	0.3
145376	-0.42	-0.41	-0.3	-0.88	-0.47	-0.92
145389	1.7	1.52	1.61	3.08	3.14	3.63
145447	-1.18	-1.52	-1.51	-0.64	-0.98	-0.92
145482	0.6	0.57	0.83	0.23	0.94	0.69
145483	-0.56	-0.71	-0.55	-0.55	-0.35	-0.36
145497	-1.63	-1.52	-1.51	-1.59	-1.46	-1.49
145508	-0.03	-0.07	-0.2	-0.05	-0.03	-0.05
145553	0.28	0.24	0.37	0	-0.07	-0.03
145567	0.23	0.31	0.07	-0.02	0	0.25
145581	-1.08	-0.96	-1.51	-1.12	-0.98	-1.01
145741	-1.63	-1.52	-1.51	-1.59	-1.46	-0.92
145748	-0.25	-0.27	-0.14	-0.17	-0.17	-0.16
145773	-0.65	-0.61	-0.66	-0.55	-0.25	-0.37
145788	-0.31	-0.35	-0.16	-0.36	-0.26	-0.21
145814	-1.18	-1.52	-0.86	-1.59	-0.91	-1.49
145853	-0.27	-0.25	-0.29	-0.03	-0.12	-0.14
145864	-0.79	-0.89	-0.8	-0.88	-0.91	-0.73
145873	-0.64	-0.74	-0.84	-0.94	-0.55	-0.59
145942	-1.63	-1.52	-1.51	-1.59	-1.46	-1.01
145957	-0.65	-0.89	-0.72	-0.56	-0.38	-0.61
146050	0.28	0.21	0.39	0.16	0.24	0.12
146057	0.14	0.07	0.26	0.27	-0.07	0.16
146059	0.07	0.16	-0.01	0.22	0.12	0.15
146167	-1.08	-1.52	-1.51	-1.02	-0.84	-1.49
146177	-0.96	-0.79	-1.51	-0.8	-0.63	-0.73
146183	-0.79	-1.08	-0.72	-0.65	-0.61	-0.48
146198	-0.18	-0.06	-0.21	-0.1	-0.14	-0.11
