gene	GSM1076115	GSM1076114
433	-0.94	-1.59
434	-1.56	-1.59
435	0.32	0.34
439	1.21	1.21
440	1.05	1.22
443	-0.82	-0.78
444	1.09	1.14
445	1.7	1.2
460	-0.94	-1.1
462	-0.46	-0.44
463	1.35	1.42
466	0.64	0.7
467	-0.21	-0.32
468	1.62	1.59
471	1.41	1.54
472	0.25	0.34
473	1.31	1.43
474	-1.56	-1.59
475	1.04	0.93
476	2.23	2.32
477	-0.62	-0.59
478	-0.65	-0.73
479	-0.87	-0.98
480	-1.56	-1.1
481	-0.01	0.43
482	-0.56	-0.6
483	1.09	1.31
487	-0.94	-0.98
488	2.14	2.07
489	-0.71	-0.78
490	1.18	1.23
491	-1.56	-1.59
492	-0.82	-0.91
493	0.81	0.48
495	-1.56	-1.59
496	-1.56	-1.1
498	2.35	2.32
501	1.03	0.97
506	2.62	2.65
509	1.22	1.29
513	1.87	1.89
515	1.22	1.37
516	1.56	1.46
517	0.3	0.31
518	1.53	1.61
522	1.15	1.2
523	1.17	1.29
525	-0.75	-0.98
526	1.07	1.13
527	2.18	2.15
528	0.63	0.71
529	1.19	1.21
533	1.16	1.24
534	-0.58	-0.5
535	1.12	1.19
537	1.8	1.81
538	0.29	0.24
539	1.43	1.39
540	-0.5	-0.78
545	0.01	0.19
546	0.52	0.9
547	1.71	1.73
549	0.2	0.1
550	1.17	1.26
551	-1.56	-1.59
552	0.75	0.45
553	-1.56	-1.59
554	-1.56	-1.59
558	2.44	2.51
563	-1.56	-1.59
567	2.3	2.09
570	-1.07	-1.1
571	0.85	0.81
572	0.53	0.51
573	1.08	1.1
575	-0.62	-0.67
576	-0.36	-0.37
577	-0.65	-0.67
578	1.01	1.03
579	-0.36	-0.4
580	-0.3	-0.21
581	1.6	1.6
582	-0.16	-0.19
583	-0.28	-0.29
585	-0.24	-0.23
586	1.28	1.24
587	0.7	0.58
590	-0.78	-0.61
593	0.55	0.47
594	-0.27	-0.3
595	1.68	1.94
596	-0.14	-0.11
597	-0.68	-0.86
598	1.2	1.37
599	0.89	0.85
602	0.5	-0.08
604	0.51	0.27
605	0.1	0.22
607	0.7	0.68
608	-1.56	-1.59
610	-0.18	-0.22
611	-0.78	-0.7
613	1.16	1.17
617	0.02	0.04
622	-0.37	-0.35
623	-0.46	-0.73
624	-0.42	-0.64
627	0.46	0.9
629	-0.06	-0.22
631	-0.5	-0.55
632	-0.78	-0.7
633	3.35	3.28
634	-0.6	-0.58
635	-0.94	-1.1
636	-0.32	-0.26
637	0.53	0.47
638	-0.82	-0.91
639	0.21	-0.4
640	-1.56	-1.59
641	-0.23	-0.13
642	0.5	0.58
643	-1.07	-1.59
644	-0.04	-0.01
645	0.34	0.33
646	-0.94	-1.59
649	1.72	1.6
650	-0.33	-0.33
651	-0.65	-0.59
652	0.42	0.53
653	-0.38	-0.37
654	-0.47	-0.49
655	-0.57	-0.52
657	0.87	1.07
658	0.11	0.04
659	1.22	1.39
660	-1.07	-1.59
661	0.86	0.72
662	0.04	-0.03
663	1.33	1.44
664	1.47	0.55
665	1.21	0.91
666	0.46	0.78
668	-0.82	-1.1
669	0.38	0.46
670	-0.05	-0.05
671	-1.56	-1.1
672	-0.19	0
673	0.64	0.74
675	-0.22	-0.12
676	-0.54	-0.55
677	1.13	0.71
678	1.38	1.49
680	-1.56	-1.59
682	2.59	2.49
683	-0.61	-0.68
685	-0.68	-0.65
686	0.28	0.2
687	0.59	0.65
688	-0.34	-0.2
689	1.79	1.82
694	0.7	0.55
695	-1.07	-1.1
696	-1.56	-1.59
699	-0.3	-0.14
701	-0.09	0.18
705	1	0.99
706	1.5	1.29
708	0.99	1.02
710	0.47	0.24
712	-0.51	-0.5
713	-0.41	-0.43
714	-0.48	-0.49
715	1.07	0.86
716	0.76	0.62
717	-0.27	-0.41
718	1.04	0.75
719	-0.34	-0.42
721	-0.43	-0.43
726	0.15	0.11
727	-1.56	-0.86
728	-0.35	-0.49
729	-1.07	-1.1
730	-1.56	-1.59
731	-1.56	-1.1
732	-1.56	-1.59
733	-0.47	-0.47
734	-0.11	-0.11
735	-1.56	-1.59
738	0.79	0.78
740	0.45	0.39
741	0.38	0.3
744	-0.51	-0.49
745	-0.01	-0.14
746	1.32	1.07
747	0.45	0.34
753	0.69	0.53
754	1.9	1.87
755	0.11	0.12
757	0.52	0.61
758	-1.56	-1.59
759	-1.56	-1.59
760	-0.32	-0.6
761	-1.56	-1.59
762	-1.56	-1.59
763	-0.94	-0.86
765	-0.78	-0.73
766	-0.73	-0.86
767	-0.43	-0.24
768	-0.2	-0.36
770	-0.4	-0.38
771	-0.25	-0.26
773	-0.3	-0.17
774	-0.36	-0.4
775	1.15	1
776	-0.51	-0.64
777	-0.65	-0.56
778	-1.56	-0.98
779	-1.56	-1.1
780	1.53	1.62
781	0.65	0.86
782	0.06	-0.03
783	-0.44	-0.29
784	1.18	1.11
785	-0.62	-0.51
786	-1.56	-1.59
788	0.59	0.54
790	1.97	1.9
793	-0.82	-1.1
794	-0.87	-1.59
795	-0.67	-0.91
797	-1.56	-0.98
799	-1.07	-1.59
810	-1.56	-1.59
811	2.78	2.71
813	2.49	2.57
814	-0.44	-0.41
815	-0.43	-0.39
816	-0.46	-0.49
817	1.11	1.21
818	1.23	1.37
819	0.4	0.37
820	-0.42	-0.63
821	2.31	2.35
822	1.46	1.33
823	1.09	1.04
824	2.19	2.27
825	-0.94	-1.1
826	2.14	2.08
827	0.24	0.04
829	1.49	1.63
830	0.95	1.21
831	1.47	1.42
832	2.09	2.06
833	0.86	0.99
834	-0.87	-0.98
835	0.07	0.13
836	0.1	0.13
837	-0.17	-0.4
839	0.14	-0.01
840	0.06	-0.09
841	0.31	0.42
842	0.09	0.09
844	-0.75	-0.73
845	-1.07	-1.1
846	-1.56	-1.59
847	1	1.05
857	1.96	2.05
858	0.22	0.45
859	-0.65	-0.61
860	0.59	0.7
861	1.22	0.78
862	0.3	0.35
863	-0.73	-0.78
864	-0.19	-0.24
865	0.61	0.74
866	-1.07	-1.59
867	1.39	1.36
868	0.78	0.83
869	-0.94	-0.75
871	3.13	3.13
873	0.47	0.43
874	0.2	0.37
875	-0.54	-0.57
881	-0.65	-0.86
885	-0.35	-0.37
886	-0.94	-1.1
887	-1.56	-1.59
889	0.47	0.62
890	0.03	0.4
891	-0.03	0.35
892	-0.11	0.02
894	2.51	2.54
896	1.76	1.76
898	0.28	0.6
899	0.04	0.23
900	2.1	2.09
901	0.32	0.15
902	0.2	0.24
904	0.7	0.73
905	0.32	0.47
912	-0.28	-0.28
914	-1.56	-1.59
915	-0.68	-0.73
916	-1.56	-1.59
917	-1.56	-1.59
919	-1.56	-0.91
920	-0.94	-0.98
921	-1.07	-1.59
922	-1.07	-1.59
923	-1.56	-1.1
924	-1.56	-1.1
925	-0.87	-0.82
926	-1.56	-1.59
928	1.6	1.56
929	-0.15	-0.37
930	-1.56	-1.59
931	-0.87	-0.73
932	-1.07	-1.59
933	-0.67	-0.75
939	-0.82	-0.75
940	-1.56	-0.98
941	0.05	0.03
942	-0.87	-0.86
943	-1.07	-1.59
944	-1.07	-1.59
947	-0.4	-0.36
948	-0.43	-0.51
949	0.7	0.76
950	1.35	1.22
951	-0.56	-0.7
952	-0.33	-0.37
953	-0.78	-0.64
954	-0.4	-0.52
955	0.42	0.42
956	-0.94	-0.98
957	0.2	0.18
958	-0.31	-0.45
959	-1.56	-1.59
960	2.42	2.4
961	1.27	0.83
962	-0.68	-0.98
963	-0.54	-0.62
966	-0.47	-0.46
967	2.43	2.45
968	-0.09	-0.3
969	-0.87	-1.59
970	-0.94	-1.59
971	-0.43	-0.61
972	-0.52	-0.63
973	-0.68	-0.78
974	-1.56	-1.59
975	2.25	2.22
976	1.12	1.16
977	1.13	1.42
978	-0.57	-0.55
983	0.22	0.56
987	0.28	0.2
988	0.71	0.74
989	1.05	1.39
990	-0.09	0.07
991	0.22	0.7
993	0.42	0.48
994	0.04	0.22
995	-0.45	-0.32
996	0.77	0.96
997	1.12	1.21
999	-1.07	-1.59
1000	0.98	1.48
1001	0.29	0.14
1002	-0.43	-0.47
1003	-1.07	-1.1
1004	-0.28	-0.33
1005	-1.07	-1.59
1006	-1.07	-1.59
1007	-1.56	-1.59
1008	-0.05	-0.18
1009	2.13	1.98
1010	-1.56	-1.59
1012	0.83	0.71
1013	-0.57	-0.68
1014	-1.56	-1.59
1015	-0.52	-0.51
1016	-0.6	-0.26
1017	0.37	0.41
1019	1.8	1.85
1020	0.57	0.64
1021	0.95	0.87
1022	0.86	0.8
1024	0.46	0.63
1025	1.11	1.1
1026	2.64	2.41
1027	0.41	0.37
1029	0.51	0.78
1030	0.64	0.81
1031	-0.17	-0.13
1032	0.07	-0.03
1033	-0.51	-0.38
1036	0.31	-0.06
1039	0.9	0.87
1040	-0.41	-0.46
1044	-1.56	-1.59
1045	-1.56	-1.59
1046	-1.56	-1.59
1047	-1.07	-0.98
1050	-0.06	-0.08
1051	-0.03	-0.29
1052	1.62	0.72
1053	-1.07	-1.59
1054	0.31	0.32
1056	-1.56	-0.98
1058	-0.18	0.02
1059	1.76	1.86
1060	0.07	0.15
1062	-0.14	0.15
1063	-0.24	0.13
1066	-1.56	-1.1
1068	-1.56	-1.59
1069	-0.19	-0.14
1070	0.03	0.14
1072	2.62	2.69
1073	0.78	1.03
1075	0.49	0.43
1080	-0.94	-0.78
1081	-1.56	-1.59
1101	-0.73	-0.82
1102	0.49	0.6
1103	-1.56	-1.1
1104	0.66	0.69
1105	1.04	1.12
1106	1.1	0.95
1107	1.72	1.74
1108	2.19	2.2
1109	-1.56	-1.59
1111	-0.33	-0.23
1113	-1.56	-1.59
1114	-1.56	-1.1
1116	-0.21	-0.36
1118	-0.94	-0.86
1119	0.11	0.3
1120	0.22	0.22
1121	0.02	0.22
1122	-0.27	-0.09
1123	-0.22	-0.12
1124	-0.75	-0.78
1128	-0.94	-0.78
1129	-1.07	-1.1
1130	0.32	0.26
1131	-0.49	-0.48
1132	-0.75	-0.65
1133	-1.56	-1.59
1134	-0.54	-0.48
1135	-0.73	-0.86
1136	-1.56	-1.59
1137	-0.94	-0.98
1138	-1.07	-1.59
1139	-0.56	-0.53
1140	-0.26	-0.22
1141	-0.5	-0.53
1142	-0.82	-0.91
1143	-0.82	-0.78
1144	-0.94	-1.59
1145	-1.56	-1.59
1146	-1.56	-1.59
1147	0.56	0.68
1149	-1.56	-1.59
1152	1.72	1.71
1153	0	-0.01
1154	0.25	0.26
1155	0.97	0.94
1158	-1.56	-0.98
1160	-1.56	-1.59
1161	-0.21	-0.23
1163	0.64	0.78
1164	0.16	0.25
1173	2.14	2.11
1174	1.35	1.39
1175	1.56	1.57
1176	0.16	0.41
1179	-1.56	-1.59
1180	-0.73	-0.82
1181	-0.08	-0.02
1182	-0.07	-0.12
1183	1.02	1
1184	1.01	1.17
1185	0.33	0.28
1186	1.09	1.12
1187	-1.56	-1.1
1188	-1.56	-1.59
1191	0.25	0.56
1192	1.9	1.91
1195	0.23	0.43
1196	0.49	0.46
1198	0.91	0.83
1200	1.47	1.43
1201	0	-0.02
1203	0.61	0.66
1207	0.84	0.89
1208	-1.56	-1.59
1209	1.74	1.72
1211	1.84	1.87
1212	1.12	1.19
1213	2.2	2.3
1215	-1.56	-1.1
1230	-0.63	-0.82
1232	-1.07	-1.59
1233	-1.56	-1.59
1234	-0.87	-0.86
1235	-1.56	-1.59
1236	-1.07	-1.1
1237	-1.56	-1.59
1238	-1.07	-1.59
1240	-0.04	-0.1
1241	-0.44	-0.57
1244	-1.07	-1.1
1259	-1.07	-1.1
1260	-1.56	-1.59
1261	-0.82	-0.67
1262	-1.56	-1.59
1263	0.36	0.23
1264	1.14	1.52
1265	2.45	2.52
1266	2.15	2.17
1267	0.23	0.14
1268	-0.58	-0.68
1269	-0.82	-0.82
1270	-0.53	-0.51
1271	-0.21	-0.3
1272	-0.54	-0.57
1277	3.8	3.79
1278	3.41	3.37
1280	1.59	1.68
1281	3.22	2.93
1282	2.69	2.68
1284	2.63	2.64
1285	-0.78	-0.86
1286	-1.56	-0.91
1287	0.47	0.8
1288	-0.47	-0.35
1289	3.05	3
1290	2.84	2.86
1291	2.72	2.53
1292	2.62	2.46
1293	2.66	2.61
1294	0.16	0.32
1295	1.8	1.87
1296	1.12	0.55
1297	-0.87	-0.86
1298	-0.42	-0.4
1299	-0.62	-0.68
1300	0.97	1.27
1301	1.57	1.61
1302	-0.32	-0.39
1303	2.89	2.79
1305	-1.56	-1.59
1306	0.26	0.08
1307	1.63	1.53
1310	-0.44	-0.39
1311	0.11	0.16
1312	1.39	1.4
1314	2.26	2.23
1315	1.55	1.62
1316	1.59	1.66
1317	0.65	0.68
1318	0.16	0.08
1325	-0.94	-1.59
1326	0.05	-0.28
1327	1.96	1.92
1337	2.04	1.92
1339	-0.51	-0.53
1340	1.29	1.27
1346	-0.58	-0.65
1347	1.26	1.11
1349	1.37	1.23
1351	1.95	1.8
1352	0.3	0.32
1353	-0.16	-0.18
1355	0.45	0.36
1356	0.15	0.26
1357	-1.56	-1.1
1358	-1.56	-1.59
1359	-1.56	-1.1
1360	-0.78	-0.75
1361	-1.56	-1.59
1362	1.21	1.08
1363	1.49	1.9
1364	-0.94	-0.78
1365	-1.07	-0.91
1366	-0.78	-0.64
1368	-0.47	-0.42
1369	-1.07	-1.59
1370	-0.87	-1.1
1371	0.45	0.35
1373	-1.56	-1.59
1374	1.35	1.28
1375	-0.45	-0.51
1376	0.43	0.39
1379	0.63	0.59
1380	-1.56	-0.98
1381	1.03	0.52
1382	0.79	0.57
1384	0.64	0.65
1385	0.37	0.52
1386	0.49	0.57
1387	1.32	1.25
1388	0.93	0.85
1389	-0.12	-0.11
1390	-0.09	-0.12
1392	-1.56	-1.59
1393	-0.82	-1.1
1394	-1.56	-1.59
1395	-1.56	-1.59
1396	0.63	0.33
1398	1.46	1.61
1399	0.93	0.94
1400	-0.12	-0.04
1401	-1.07	-0.98
1404	-0.75	-0.7
1406	-1.07	-0.7
1407	-0.1	-0.18
1408	0.33	0.34
1409	-1.56	-1.59
1410	1.19	1.32
1411	-0.75	-0.82
1412	-1.56	-1.59
1413	-0.82	-1.1
1414	-1.07	-1.59
1415	-1.56	-1.59
1417	-0.44	-0.46
1418	-1.56	-1.59
1419	-1.56	-1.59
1420	-1.56	-1.59
1421	-1.56	-1.59
1427	-1.07	-1.59
1428	-0.75	-0.91
1429	0.04	-0.06
1431	1.92	1.97
1432	1.19	1.23
1434	0.72	1.02
1435	2.72	2.72
1436	-0.24	-0.34
1437	-0.67	-1.59
1438	-0.15	-0.12
1439	-0.4	-0.46
1440	-0.53	-0.91
1441	-0.78	-0.98
1444	-1.56	-1.59
1445	1.3	1.38
1447	-1.56	-1.59
1448	-0.87	-1.1
1452	1.79	1.84
1453	1.72	1.78
1454	1.19	1.21
1455	1.6	1.57
1456	0.45	0.55
1457	1.27	1.39
1459	0.62	0.67
1460	1.28	1.27
1462	1.99	1.71
1463	-1.07	-0.98
1464	2.56	2.5
1465	2.28	2.21
1466	0.87	0.66
1468	0.43	0.6
1471	2.09	2.09
1473	-1.56	-1.59
1474	-0.23	-0.23
1475	-0.73	-1.1
1476	1.49	1.31
1477	0.7	0.73
1478	0.48	0.57
1479	0.28	0.31
1482	-1.56	-1.59
1486	-0.21	-0.23
1487	1.64	1.68
1488	1.08	1.05
1489	-0.33	-0.38
1490	3.32	3.31
1491	-0.28	-0.3
1493	-1.56	-1.59
1495	1.92	2.05
1496	-0.65	-0.61
1497	0.19	0.2
1499	2.35	2.42
1500	2.1	2.16
1501	-0.23	0.1
1503	1.56	1.52
1506	-0.58	-0.7
1508	2.48	2.37
1509	2.8	2.85
1510	-1.56	-1.59
1511	-1.07	-1.59
1512	0.35	0.37
1513	0.61	0.28
1515	2.1	2
1519	-0.05	-0.12
1520	-0.33	-0.5
1521	-0.46	-0.55
1522	1.85	1.74
1524	-0.63	-0.67
1525	-0.21	-0.25
1527	-1.56	-1.59
1528	0.6	0.51
1534	-0.44	-0.47
1535	1.37	1.3
1536	-0.3	-0.57
1537	1.62	1.57
1540	0.32	0.31
1543	-1.56	-0.7
1544	-1.56	-1.59
1545	1.89	2.23
1551	-1.56	-1.1
1553	-1.56	-1.59
1555	-1.56	-1.59
1558	-1.56	-1.59
1559	-1.56	-1.59
1562	-0.87	-0.98
1571	-1.56	-0.98
1572	-0.71	-1.59
1573	0.1	0.1
1577	-1.56	-1.59
1579	-0.87	-0.73
1580	-0.94	-1.1
1581	-1.56	-0.98
1582	-1.56	-1.59
1583	-0.94	-0.86
1584	-1.56	-1.59
1585	-1.07	-0.98
1586	-1.56	-1.59
1588	-0.71	-0.68
1589	-1.56	-1.59
1591	-0.94	-1.1
1592	-1.56	-1.59
1593	-0.48	-0.47
1594	-0.6	-0.82
1595	0.98	0.97
1600	-1.07	-1.59
1601	0.75	0.83
1602	-0.38	-0.32
1603	1.6	1.47
1604	0.26	0.1
1605	1.71	1.71
1606	0.01	-0.13
1607	-1.56	-1.59
1608	-0.55	-0.51
1609	0.49	0.53
1610	-1.56	-0.86
1611	1.63	1.71
1612	0.41	0.19
1613	0.76	0.7
1615	1	0.99
1616	0.74	0.49
1620	0.39	0.47
1621	-1.56	-1.59
1622	0.76	0.77
1627	1.92	2
1628	-0.17	0.07
1629	0.02	0.07
1630	-0.94	-0.7
1632	0.14	0.12
1633	-0.1	-0.01
1634	1.39	0.6
1635	0.24	0.34
1636	-0.51	-0.62
1638	-1.56	-1.59
1639	1.83	1.81
1641	-0.87	-0.82
1642	2.6	2.64
1643	-0.46	-0.45
1644	-0.71	-0.62
1646	-1.07	-1.1
1647	-0.01	-0.15
1649	0.7	0.62
1650	1.98	1.91
1652	0.07	-0.03
1653	1.27	1.34
1654	1.71	1.95
1655	2.07	2.18
1656	1.54	1.64
1657	0.31	0.48
1659	0.85	0.83
1660	1.64	1.79
1662	0.18	0.23
1663	-0.14	-0.04
1665	1.31	1.48
1666	0.29	0.33
1674	-0.15	0.04
1675	-1.56	-1.59
1676	0.3	0.2
1677	-0.26	-0.29
1678	0.06	0.17
1690	-0.14	0.13
1716	0.18	0.12
1717	0.32	0.17
1718	1.23	1.28
1719	-0.2	-0.05
1723	0.13	0.12
1725	0.3	0.41
1728	0.37	0.75
1729	1.09	1.06
1731	-0.54	-0.49
1733	-1.56	-1.59
1734	-0.15	-0.38
1735	-0.4	-0.39
1736	0.4	0.49
1737	0.9	0.98
1738	0.73	0.84
1739	1.22	1.3
1740	-0.41	-0.44
1741	0.53	0.52
1742	1.03	0.93
1743	1.69	1.69
1745	-0.65	-0.65
1746	-0.18	0.05
1747	-0.68	-0.68
1748	-0.87	-1.1
1749	-0.47	-0.38
1750	-0.68	-0.57
1755	-1.07	-1.59
1756	-0.18	-0.07
1757	0.44	0.49
1758	-0.67	-0.52
1759	0.53	0.42
1760	0.03	0.38
1761	-1.56	-1.59
1762	1.06	1.13
1763	-0.36	-0.25
1767	-1.56	-1.59
1768	-1.07	-1.1
1769	-0.82	-0.75
1770	-1.56	-1.59
1773	-0.31	-0.33
1774	-0.33	-0.26
1775	-0.46	-0.5
1776	-0.65	-0.7
1777	0	0.03
1778	2.7	2.7
1780	-0.62	-0.6
1783	1.37	1.45
1785	1.57	1.62
1786	1.3	1.47
1787	-0.46	-0.38
1788	0.8	0.76
1789	-0.46	-0.42
1791	-1.56	-1.59
1793	1.34	1.29
1794	-0.56	-0.64
1795	-0.6	-0.51
1796	1.31	1.46
1797	0.14	0.1
1798	0.79	0.7
1800	-0.33	-0.29
1801	0.27	0.21
1802	0.21	0.23
1803	-1.07	-0.91
1804	-1.07	-0.75
1805	-0.37	-0.36
1806	-0.5	-0.46
1807	-1.56	-1.59
1808	0.7	0.84
1809	1.96	2.15
1810	0.4	0.46
1811	-0.73	-0.67
1812	-1.07	-1.1
1813	-1.56	-1.59
1814	-1.56	-1.1
1815	-0.5	-0.49
1816	-1.56	-0.98
1819	1.16	1.11
1820	0.28	0.09
1821	-0.4	-0.39
1822	1.78	1.8
1823	-1.56	-1.59
1824	-0.56	-0.51
1825	-1.07	-1.59
1826	-1.56	-0.82
1827	1.57	0.82
1828	-0.94	-1.1
1829	-1.56	-0.98
1830	-1.56	-1.1
1831	0.61	0.62
1832	-0.73	-0.48
1833	-1.07	-0.98
1836	0.34	0.33
1837	-0.3	-0.26
1838	0.19	0.23
1839	1.54	1.41
1840	-0.6	-0.63
1841	0.42	0.5
1842	-0.52	-0.5
1843	1.07	1.11
1844	-0.94	-0.73
1845	1.02	0.93
1846	0.49	0.53
1847	0.32	0.48
1848	0.9	0.66
1849	0.92	0.9
1850	0.37	0.17
1852	-0.04	0.12
1854	0.37	0.43
1855	1.5	1.5
1856	0.87	0.87
1857	1.14	1.12
1859	0.8	0.92
1861	0.49	0.49
1869	0.72	0.88
1870	-0.49	-0.44
1871	0.58	0.68
1874	0.98	0.95
1875	-0.25	-0.19
1876	0.44	0.7
1877	0.25	0.25
1879	0.71	0.45
1880	-0.94	-0.7
1889	1.77	1.69
1890	0	0.01
1891	0.63	0.5
1892	0.5	0.42
1893	2.01	1.92
1894	-0.24	0.04
1901	0.57	0.41
1902	0.62	0.4
1903	1.37	1.09
1906	-0.21	-0.23
1907	-0.68	-0.68
1908	-1.56	-1.59
1909	0.06	-0.19
1910	-0.34	-0.34
1911	0.35	0.32
