ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Biosample Name	Biosample Description	Species	Strain	Cancer Type
GSE87448	27694579	Activation of Notch1 synergizes with multiple pathways in promotingcastration-resistant prostate cancer.	None	SRX2195721	GSE87448	prostate	GSM2331488	None	NICD-Akt Sample 1	Sample_062813NICD-AKT	Mouse	NICD-Akt Sample 1	Prostate_Adenocarcinoma
GSE87448	27694579	Activation of Notch1 synergizes with multiple pathways in promotingcastration-resistant prostate cancer.	None	SRX2195722	GSE87448	prostate	GSM2331489	None	NICD-Akt Sample 2	Sample_082413NICD-AKT	Mouse	NICD-Akt Sample 2	Prostate_Adenocarcinoma
GSE87448	27694579	Activation of Notch1 synergizes with multiple pathways in promotingcastration-resistant prostate cancer.	None	SRX2195715	GSE87448	prostate	GSM2331482	None	Prostate Control 1	Sample_Mouse Prostate1	Mouse	Prostate Control 1	Prostate_Adenocarcinoma
GSE87448	27694579	Activation of Notch1 synergizes with multiple pathways in promotingcastration-resistant prostate cancer.	None	SRX2195716	GSE87448	prostate	GSM2331483	None	Prostate Control 2	Sample_Mouse Prostate2	Mouse	Prostate Control 2	Prostate_Adenocarcinoma
GSE87448	27694579	Activation of Notch1 synergizes with multiple pathways in promotingcastration-resistant prostate cancer.	None	SRX2195717	GSE87448	prostate	GSM2331484	None	NICD-Myc Sample 1	Sample_082313NICD-Myc	Mouse	NICD-Myc Sample 1	Prostate_Adenocarcinoma
GSE87448	27694579	Activation of Notch1 synergizes with multiple pathways in promotingcastration-resistant prostate cancer.	None	SRX2195718	GSE87448	prostate	GSM2331485	None	NICD-Myc Sample 2	Sample_110113NICD-Myc	Mouse	NICD-Myc Sample 2	Prostate_Adenocarcinoma
GSE87448	27694579	Activation of Notch1 synergizes with multiple pathways in promotingcastration-resistant prostate cancer.	None	SRX2195719	GSE87448	prostate	GSM2331486	None	NICD-kRas Sample 1	Sample_082213NICD-kRas	Mouse	NICD-kRas Sample 1	Prostate_Adenocarcinoma
GSE87448	27694579	Activation of Notch1 synergizes with multiple pathways in promotingcastration-resistant prostate cancer.	None	SRX2195720	GSE87448	prostate	GSM2331487	None	NICD-kRas Sample 2	Sample_082413NICD-kRas	Mouse	NICD-kRas Sample 2	Prostate_Adenocarcinoma
