ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Biosample Name	Biosample Description	Species	Strain	Cancer Type
GSE55633	25822788	IL-17-producing gammadelta T cells and neutrophils conspire to promote breastcancer metastasis.	None	SRX482012	GSE55633	neutrophils	GSM1340634	None	2276_6_KEP_1	None	Mouse	2276_6_KEP_1	Breast_Invasive_Carcinoma_female
GSE55633	25822788	IL-17-producing gammadelta T cells and neutrophils conspire to promote breastcancer metastasis.	None	SRX482013	GSE55633	neutrophils	GSM1340635	None	2276_7_KEP_2	None	Mouse	2276_7_KEP_2	Breast_Invasive_Carcinoma_female
GSE55633	25822788	IL-17-producing gammadelta T cells and neutrophils conspire to promote breastcancer metastasis.	None	SRX482015	GSE55633	neutrophils	GSM1340637	None	2276_9_KEP_4	None	Mouse	2276_9_KEP_4	Breast_Invasive_Carcinoma_female
GSE55633	25822788	IL-17-producing gammadelta T cells and neutrophils conspire to promote breastcancer metastasis.	None	SRX482011	GSE55633	neutrophils	GSM1340633	None	2276_4_KEP_4	None	Mouse	2276_4_KEP_4	Breast_Invasive_Carcinoma_female
GSE55633	25822788	IL-17-producing gammadelta T cells and neutrophils conspire to promote breastcancer metastasis.	None	SRX482009	GSE55633	neutrophils	GSM1340631	None	2276_3_WT_3	None	Mouse	2276_3_WT_3	Breast_Invasive_Carcinoma_female
GSE55633	25822788	IL-17-producing gammadelta T cells and neutrophils conspire to promote breastcancer metastasis.	None	SRX482007	GSE55633	neutrophils	GSM1340629	None	2276_1_WT_1	None	Mouse	2276_1_WT_1	Breast_Invasive_Carcinoma_female
GSE55633	25822788	IL-17-producing gammadelta T cells and neutrophils conspire to promote breastcancer metastasis.	None	SRX482008	GSE55633	neutrophils	GSM1340630	None	2276_2_WT_2	None	Mouse	2276_2_WT_2	Breast_Invasive_Carcinoma_female
GSE55633	25822788	IL-17-producing gammadelta T cells and neutrophils conspire to promote breastcancer metastasis.	None	SRX482010	GSE55633	neutrophils	GSM1340632	None	2276_5_WT_5	None	Mouse	2276_5_WT_5	Breast_Invasive_Carcinoma_female
GSE55633	25822788	IL-17-producing gammadelta T cells and neutrophils conspire to promote breastcancer metastasis.	None	SRX482014	GSE55633	neutrophils	GSM1340636	None	2276_8_KEP_3	None	Mouse	2276_8_KEP_3	Breast_Invasive_Carcinoma_female
