ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Biosample Name	Biosample Description	Species	Strain	Cancer Type
GSE67291	26366710	The histone lysine methyltransferase KMT2D sustains a gene expression programthat represses B cell lymphoma development.	None	SRX971604	GSE67291	B220	GSM1643915	None	AO78_5	None	Mouse	AO78_5	Diffuse_Large_B-cell_Lymphoma
GSE67291	26366710	The histone lysine methyltransferase KMT2D sustains a gene expression programthat represses B cell lymphoma development.	None	SRX971612	GSE67291	B220	GSM1643923	None	AO110_3	None	Mouse	AO110_3	Diffuse_Large_B-cell_Lymphoma
GSE67291	26366710	The histone lysine methyltransferase KMT2D sustains a gene expression programthat represses B cell lymphoma development.	None	SRX971607	GSE67291	B220	GSM1643918	None	AO87_5	None	Mouse	AO87_5	Diffuse_Large_B-cell_Lymphoma
GSE67291	26366710	The histone lysine methyltransferase KMT2D sustains a gene expression programthat represses B cell lymphoma development.	None	SRX971609	GSE67291	B220	GSM1643920	None	AO103_2	None	Mouse	AO103_2	Diffuse_Large_B-cell_Lymphoma
GSE67291	26366710	The histone lysine methyltransferase KMT2D sustains a gene expression programthat represses B cell lymphoma development.	None	SRX971606	GSE67291	B220	GSM1643917	None	AO87_2	None	Mouse	AO87_2	Diffuse_Large_B-cell_Lymphoma
GSE67291	26366710	The histone lysine methyltransferase KMT2D sustains a gene expression programthat represses B cell lymphoma development.	None	SRX971608	GSE67291	B220	GSM1643919	None	AO103_1	None	Mouse	AO103_1	Diffuse_Large_B-cell_Lymphoma
GSE67291	26366710	The histone lysine methyltransferase KMT2D sustains a gene expression programthat represses B cell lymphoma development.	None	SRX971611	GSE67291	B220	GSM1643922	None	AO110_2	None	Mouse	AO110_2	Diffuse_Large_B-cell_Lymphoma
GSE67291	26366710	The histone lysine methyltransferase KMT2D sustains a gene expression programthat represses B cell lymphoma development.	None	SRX971605	GSE67291	B220	GSM1643916	None	AO87_1	None	Mouse	AO87_1	Diffuse_Large_B-cell_Lymphoma
GSE67291	26366710	The histone lysine methyltransferase KMT2D sustains a gene expression programthat represses B cell lymphoma development.	None	SRX971610	GSE67291	B220	GSM1643921	None	AO103_5	None	Mouse	AO103_5	Diffuse_Large_B-cell_Lymphoma
