ImmPort Study ID	PubMed	Study Title	PI	Biosample ID	Experiment ID	Cohort	Repository Accession	Type	Biosample Name	Biosample Description	Species	Strain	Cancer Type
GSE67207	26879975	Genome-wide transcriptional regulation of estrogen receptor targets in fallopian tube cells and the role of selective estrogen receptor modulators.	None	SRX968584	GSE67207	oviduct epithelial cell line	GSM1642522	None	GH4	None	Mouse	GH4	Ovarian_Serous_Cystadenocarcinoma
GSE67207	26879975	Genome-wide transcriptional regulation of estrogen receptor targets in fallopian tube cells and the role of selective estrogen receptor modulators.	None	SRX968585	GSE67207	oviduct epithelial cell line	GSM1642523	None	GH5	None	Mouse	GH5	Ovarian_Serous_Cystadenocarcinoma
GSE67207	26879975	Genome-wide transcriptional regulation of estrogen receptor targets in fallopian tube cells and the role of selective estrogen receptor modulators.	None	SRX968589	GSE67207	oviduct epithelial cell line	GSM1642527	None	GH9	None	Mouse	GH9	Ovarian_Serous_Cystadenocarcinoma
GSE67207	26879975	Genome-wide transcriptional regulation of estrogen receptor targets in fallopian tube cells and the role of selective estrogen receptor modulators.	None	SRX968582	GSE67207	oviduct epithelial cell line	GSM1642520	None	GH2	None	Mouse	GH2	Ovarian_Serous_Cystadenocarcinoma
GSE67207	26879975	Genome-wide transcriptional regulation of estrogen receptor targets in fallopian tube cells and the role of selective estrogen receptor modulators.	None	SRX968583	GSE67207	oviduct epithelial cell line	GSM1642521	None	GH3	None	Mouse	GH3	Ovarian_Serous_Cystadenocarcinoma
GSE67207	26879975	Genome-wide transcriptional regulation of estrogen receptor targets in fallopian tube cells and the role of selective estrogen receptor modulators.	None	SRX968588	GSE67207	oviduct epithelial cell line	GSM1642526	None	GH8	None	Mouse	GH8	Ovarian_Serous_Cystadenocarcinoma
GSE67207	26879975	Genome-wide transcriptional regulation of estrogen receptor targets in fallopian tube cells and the role of selective estrogen receptor modulators.	None	SRX968581	GSE67207	oviduct epithelial cell line	GSM1642519	None	GH1	None	Mouse	GH1	Ovarian_Serous_Cystadenocarcinoma
GSE67207	26879975	Genome-wide transcriptional regulation of estrogen receptor targets in fallopian tube cells and the role of selective estrogen receptor modulators.	None	SRX968586	GSE67207	oviduct epithelial cell line	GSM1642524	None	GH6	None	Mouse	GH6	Ovarian_Serous_Cystadenocarcinoma
GSE67207	26879975	Genome-wide transcriptional regulation of estrogen receptor targets in fallopian tube cells and the role of selective estrogen receptor modulators.	None	SRX968587	GSE67207	oviduct epithelial cell line	GSM1642525	None	GH7	None	Mouse	GH7	Ovarian_Serous_Cystadenocarcinoma
